"","ENZYMEDATABASE...1.","BCUTw.1h","BCUTc.1l","BCUTc.1h","BCUTp.1l","BCUTp.1h","XLogP","MW","LipinskiFailures","nRotB","MLogP","nAtomLAC","nAtomP","nAtomLC","nB","nAtom","nAromBond","naAromAtom","ALogP","ALogp2","AMR","nAcid","nSmallRings","nAromRings","nRingBlocks","nAromBlocks","nRings3","nRings4","nRings5","nRings6","nRings7","tpsaEfficiency","Zagreb","WPATH","WPOL","WTPT.1","WTPT.2","WTPT.3","WTPT.4","WTPT.5","VAdjMat","VABC","TopoPSA","topoShape","PetitjeanNumber","MDEC.11","MDEC.12","MDEC.13","MDEC.14","MDEC.22","MDEC.23","MDEC.24","MDEC.33","MDEC.34","MDEC.44","MDEO.11","MDEO.12","MDEO.22","khs.sCH3","khs.dCH2","khs.ssCH2","khs.dsCH","khs.aaCH","khs.sssCH","khs.tsC","khs.dssC","khs.aasC","khs.aaaC","khs.ssssC","khs.ssNH","khs.aaNH","khs.tN","khs.dsN","khs.sOH","khs.dO","khs.ssO","Kier1","Kier2","Kier3","HybRatio","fragC","FMF","ECCEN","SP.0","SP.1","SP.2","SP.3","SP.4","SP.5","SP.6","SP.7","VP.0","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VP.7","SPC.4","SPC.5","SPC.6","VPC.4","VPC.5","VPC.6","SC.3","SC.4","SC.5","SC.6","VC.3","VC.4","VC.5","VC.6","SCH.3","SCH.4","SCH.5","SCH.6","SCH.7","VCH.3","VCH.4","VCH.5","VCH.6","VCH.7","C1SP1","C1SP2","C2SP2","C3SP2","C1SP3","C2SP3","C3SP3","C4SP3","ATSp1","ATSp2","ATSp3","ATSp4","ATSp5","ATSm1","ATSm2","ATSm3","ATSm4","ATSm5","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","nHBDon","nHBAcc","bpol","apol"
"1",5362858,15.9949163902372,-0.266965972631591,0.0538879504733545,3.72684101039515,7.69162856060227,1.692,101.084063972,0,2,1.79,4,3,6,6,18,0,0,-0.0923999999999997,0.00853775999999994,27.9932,0,0,0,0,0,0,0,0,0,0,0.322404924370941,24,50,5,12.6653752282588,1.80933931832269,5.06026425922456,2.38892330417611,2.67134095504845,3.58496250072116,112.186910038061,32.59,0.666666666666667,0.4,0.333333333333333,2.14913986364708,1.4142135623731,0,0.5,2,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,7,4.16666666666667,3.84,0.8,247.02,0,45,5.69867061274927,3.30806041249045,2.30209514058122,1.47839783948023,0.696923425058676,0.204124145231932,0,0,4.75623451056572,2.48423756392053,1.65007342699449,0.965097671364977,0.219216374084716,0.0471404520791032,0,0,0.492799279826744,0.408248290463863,0.204124145231932,0.341111515734462,0.152549707418049,0.0471404520791032,0.288675134594813,0,0,0,0.235702260395516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,245.336562513672,231.429008949219,221.785540042969,155.718264138672,72.4996426347657,8.13444933681743,6.71964353024706,6.49827391031301,5.66445584349345,3.83036588744558,0.0265427123882633,0.000902056903911635,-0.00939556302815601,-0.00393053809747954,-0.000821571305514356,1,0,12.025277,18.036723
"2",5357349,15.9949163889121,-0.266975374477245,0.112166482117972,3.64824728980545,7.35244439867138,1.907,101.084063972,0,2,1.79,4,3,6,6,18,0,0,0.457200000000001,0.209031840000001,28.6458,0,0,0,0,0,0,0,0,0,0,0.322404924370941,24,52,4,12.6703652754671,1.81005218220959,5.06995896805877,2.39293898405849,2.67701998400027,3.58496250072116,112.186910038061,32.59,0.666666666666667,0.4,0.5,1.63299316185545,2,0,1,1.4142135623731,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,7,4.16666666666667,6,0.8,247.02,0,47,5.69867061274927,3.27005561002966,2.53607537530544,1.13502780501483,0.612372435695795,0.408248290463863,0,0,4.75623451056572,2.42939600905414,1.92759335018585,0.65846343422275,0.257958962756995,0.0942809041582063,0,0,0.288675134594813,0.204124145231932,0.204124145231932,0.235702260395516,0.105409255338946,0.0471404520791032,0.408248290463863,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,240.429051021485,224.437667261719,211.531630555664,129.765074234375,81.264967734375,8.13444933681743,6.71964353024706,6.49827391031301,4.49827391031301,3.66445584349345,0.0271187758454654,0.00122536500426347,-0.0106862149423833,-0.00358546059919358,-0.000461574101311202,1,0,12.025277,18.036723
"3",31260,15.9949158855926,-0.395708760311429,0.114400692071097,3.95299745770741,7.13087945244292,1.359,88.088815004,0,2,1.9,4,0,5,5,18,0,0,-0.1638,0.0268304399999999,24.4562,0,0,0,0,0,0,0,0,0,0,0.2296545821292,20,32,3,10.6791774943388,1.77986291572314,2.37166440574389,2.37166440574389,0,3.32192809488736,103.826608530695,20.23,1,0.5,0.5,1.63299316185545,2,0,1,1.4142135623731,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,3.2,5.33333333333333,1,259.01,0,31,4.99156383156272,2.77005561002966,2.18252198471216,0.866025403784439,0.577350269189626,0,0,0,4.43877742706268,2.37917659485995,1.90612878246214,0.706449714063206,0.258198889747161,0,0,0,0.288675134594813,0.288675134594813,0,0.288675134594813,0.129099444873581,0,0.408248290463863,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,202.132808648438,184.827876984375,169.154739503906,89.7629479375001,43.484482375,6.77446903554095,5.33209197713257,5.33209197713257,3.33209197713257,2.66418395426513,0.0833997794144183,-0.0336340157393982,-0.00745841384086107,-0.000566095928498405,-4.1364198451455e-05,1,1,13.118484,17.603516
"4",10430,15.9959171505438,-0.331543422252068,0.297331767927433,3.72174525359031,7.21138009973537,1.25,102.06807956,0,2,1.79,4,3,5,6,17,0,0,0.3679,0.13535041,26.0363,1,0,0,0,0,0,0,0,0,0,0.365442361223946,26,48,4,12.5091624342836,1.78702320489766,4.70744403778905,4.70744403778905,0,3.58496250072116,109.980376530456,37.3,1,0.5,0.5,1,2.3094010767585,0,0,2,0,0.5,0,0,0.5,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,7,3.06122448979592,6,0.8,214.02,0,38,5.8618073195658,3.12589765768623,3.02339596063022,0.942809041582063,0.942809041582063,0,0,0,4.63991893633999,2.3442331624183,1.99170953857264,0.582868716714724,0.349240852501722,0,0,0,0.471404520791032,0.942809041582063,0.235702260395516,0.241391944856928,0.249156025500854,0.0372677996249965,0.816496580927726,0,0,0,0.472798012900653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,221.528616648438,210.681200734375,214.671149222656,118.57605296875,86.82696628125,8.54893807108189,6.66418395426513,8.43865298980608,4.66418395426513,5.32836790853026,0.191843406323915,-0.0931355202628213,0.00156406349310194,-0.0038837252214269,-0.000466521170811315,1,2,11.89007,17.07193
"5",13357,15.9959176549693,-0.318778559800762,0.264055363067221,4.19330595835624,7.72387895738805,1.356,116.083729624,0,3,1.9,4,3,6,7,20,0,0,0.0692999999999994,0.00480248999999991,30.1528,0,0,0,0,0,0,0,0,0,0,0.226560604877073,30,68,8,14.491605750444,1.8114507188055,5.07795015406738,5.07795015406738,0,3.8073549220576,127.276361156322,26.3,0.666666666666667,0.4,0.766309432393553,1.5,2.94168275343288,0,0,1.4142135623731,0,1,0,0,0,0.5,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,8,3.9375,2.8125,0.833333333333333,305.02,0,52,6.56891410075235,3.71874401501341,2.77106434931315,2.25930562250979,0.804737854124365,0.166666666666667,0,0,5.6009536313039,2.79787705636258,1.83245559971525,1.21592582628907,0.367851130197758,0.0833333333333333,0,0,1.2761423749154,1.1380711874577,0.666666666666667,0.501036547635524,0.366153904176446,0.185395405949299,0.471404520791032,0,0.166666666666667,0,0.2522366676644,0,0.0340206908719886,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,278.048497611328,271.633540488281,289.8076885625,240.962817285156,107.974756859375,9.54893807108189,7.99627593139769,9.43865298980608,9.66045988566282,4.66418395426513,0.274650891659515,-0.18245707828044,0.0859674736087712,-0.0444675722163818,0.0035275569887844,0,2,15.992484,20.165516
"6",11160,15.9959176523218,-0.318979807549253,0.299402852504167,4.03611935523675,7.36857016179147,1.571,116.083729624,0,3,1.9,4,3,6,7,20,0,0,0.6189,0.38303721,30.8054,0,0,0,0,0,0,0,0,0,0,0.226560604877073,30,71,6,14.4966342254247,1.81207927817809,5.08709041321178,5.08709041321178,0,3.8073549220576,127.276361156322,26.3,0.666666666666667,0.4,0.814325284978472,1.31037069710445,2.94168275343288,0,0,2,0,0.5,0,0,0,0.5,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,8,3.9375,5,0.833333333333333,305.02,0,54,6.56891410075235,3.66390246014701,3.14296911649927,1.57069687291189,0.971404520791032,0.333333333333333,0,0,5.6009536313039,2.73299880036411,2.17410360850936,0.80258585776127,0.416666666666667,0.166666666666667,0,0,0.691044061656996,0.902368927062182,0.666666666666667,0.297070401202799,0.268728739282632,0.185395405949299,0.696923425058676,0,0,0,0.467173855562742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,271.28368903711,261.650211855469,273.186097790039,188.542302304688,138.296208257813,9.54893807108189,7.99627593139769,9.43865298980608,6.99627593139769,6.32836790853026,0.276564523954608,-0.180937666230754,0.0777433199146267,-0.0365346284161856,0.00123820966462999,0,2,15.992484,20.165516
"7",14090,15.9959186566323,-0.293877114993552,0.309046083101898,3.71529305514401,8.3651304495483,1.332,134.036779432,0,2,2.12,2,10,4,10,16,6,6,1.9281,3.71756961,37.3171,0,1,1,1,1,0,0,0,1,0,0.254706209330552,44,121,11,19.5272410419372,1.95272410419372,4.88751604281096,4.88751604281096,0,4.32192809488736,128.066036904056,34.14,1,0.5,0,0,0,0,6.94562918153628,6.08555373497016,0,1,0,0,0.333333333333333,0,0,0,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,2,0,8.1,4,2.28571428571429,0,166.02,0.375,90,7.39734122549854,4.8425352551011,3.78362227101187,3.0985183192448,2.03653571924137,1.41711028982016,0.569035593728849,0.319035593728849,5.28059819606548,2.88918514274522,1.84812730409333,1.16534495274441,0.670460660905566,0.382128620972825,0.10951095107261,0.0447076585624647,1.08925565098879,1.33925565098879,1.37377344785321,0.270455901129607,0.264875941831465,0.211003148406475,0.402368927062183,0,0.117851130197758,0,0.142258898432212,0,0.0196418550329597,0,0,0,0,0.102062072615966,0.058925565098879,0,0,0,0.0320750149549792,0.0160375074774896,0,1,6,1,0,0,0,0,427.857152751221,462.774903246582,549.025642873047,446.196425721191,237.977264642578,11.5489380710819,10.6641839542651,12.9962759313977,12.7707449669386,8.32836790853026,0.293981308983488,-0.0687800671184399,-0.143799339059965,0.0675731081515222,-0.00191924077835445,0,2,8.475242,19.684758
"8",998,15.9949166455242,-0.302499933981857,0.124128103001942,3.634794304284,8.20413069284261,1.863,120.057514876,0,2,2.23,2,6,3,9,17,6,6,1.5166,2.30007556,36.4402,0,1,1,1,1,0,0,0,1,0,0.142181853569354,38,94,8,17.7005855317453,1.96673172574948,2.43333430383538,2.43333430383538,0,4.16992500144231,121.912268904295,17.07,1,0.5,0,0,0,0,9.56307385775423,4.44554494612844,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,7.11111111111111,3.92,2.3801652892562,0.125,217.01,0.352941176470588,81,6.52709773749546,4.43185165257814,3.2927109793487,2.42166829645027,1.88406309143716,1.30929586075447,0.492799279826744,0.246399639913372,5.07945668678817,2.90818754397561,1.85638937155209,1.16186025580634,0.710318379528583,0.405140485549108,0.122796857280282,0.0447076585624647,0.433012701892219,0.654647930377235,0.637136847124151,0.204124145231932,0.224196328107374,0.168157778442934,0.204124145231932,0,0,0,0.117851130197758,0,0,0,0,0,0,0.102062072615966,0.0721687836487032,0,0,0,0.0320750149549792,0.0226804605813257,0,1,5,1,0,1,0,0,398.731818953369,420.854496604004,476.113493594727,355.546624916016,172.322152466797,9.77446903554095,9.33209197713256,10.3320919771326,8.33209197713257,5.66418395426513,0.138536015438681,-0.041543801295811,-0.0323994902150334,0.00239948700299217,0.00208757559783127,0,1,9.703656,20.216344
"9",6054,15.9949166455242,-0.395392721053084,0.088261601004767,4.11329399465809,8.2472557349165,1.369,122.07316494,0,2,2.23,2,6,3,9,19,6,6,1.4811,2.19365721,37.3257,0,1,1,1,1,0,0,0,1,0,0.165720287582805,38,94,8,17.7005855317453,1.96673172574948,2.43333430383538,2.43333430383538,0,4.16992500144231,124.548727605095,20.23,1,0.5,0,0,0,0,9.56307385775423,4.44554494612844,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,7.11111111111111,3.92,2.3801652892562,0.25,289.01,0.315789473684211,81,6.52709773749546,4.43185165257814,3.2927109793487,2.42166829645027,1.88406309143716,1.30929586075447,0.492799279826744,0.246399639913372,5.24817850382118,3.08046475913307,1.95920535740347,1.24330319554729,0.773776682715938,0.441778153976644,0.143949625009401,0.0569202147049769,0.433012701892219,0.654647930377235,0.637136847124151,0.219416096821288,0.251343974687692,0.189310546172052,0.204124145231932,0,0,0,0.117851130197758,0,0,0,0,0,0,0.102062072615966,0.0721687836487032,0,0,0,0.0320750149549792,0.0226804605813257,0,0,5,1,1,1,0,0,410.813052020996,432.027755124512,487.2152975,368.907019675781,186.583066774414,9.77446903554095,9.33209197713257,10.3320919771326,8.33209197713257,5.66418395426513,0.0879729977048007,-0.0306464557667956,-0.0179041416383607,0.00267610887223183,0.0017394758996182,1,1,10.93207,21.54993
"10",7711,15.99591917256,-0.317974730655374,0.248206052852105,3.12107104739099,8.42306879292356,1.873,150.06807956,0,4,2.23,2,6,5,11,21,6,6,1.7814,3.17338596,42.4052,0,1,1,1,1,0,0,0,1,0,0.175253791993019,46,182,10,21.7065255845725,1.97332050768841,5.28606754428124,5.28606754428124,0,4.4594316186373,147.998480230722,26.3,1,0.5,0,0,0,0,10.6527035838367,4.52174516485402,0,0,0,0,0,0.5,0,0,0,2,1,5,0,0,0,1,0,0,0,0,0,0,0,1,1,9.09090909090909,5.625,3.78698224852071,0.222222222222222,331.02,0.285714285714286,135,7.94131129986856,5.43185165257814,3.99981776053525,2.94067069768066,2.15882750286552,1.57320658392093,0.781474414421558,0.450523785145304,6.19481175843858,3.52431664850208,2.20261441641702,1.41945438123,0.869566455571463,0.52738157943084,0.207261674627823,0.0934734435951202,0.433012701892219,0.612372435695795,0.649519052838329,0.219416096821288,0.248096865934684,0.205202962979737,0.204124145231932,0,0,0,0.117851130197758,0,0,0,0,0,0,0.102062072615966,0.0721687836487032,0,0,0,0.0320750149549792,0.0226804605813257,0,0,5,1,1,1,0,0,474.587859767105,500.759070316559,565.660680189026,455.654673001099,281.376432972412,12.5489380710819,11.9962759313977,13.1065610126735,10.6641839542651,7.9962759313977,0.308534366740031,-0.234603528295876,0.109921483620404,-0.0140293149600144,-0.0197495067102108,0,2,13.80607,24.11193
