SAMPLEID,cultivar,TREATMENT
1,Sal,CONTROL
2,Sal,CONTROL
3,Sal,CONTROL
4,Sal,CONTROL
5,Sal,CONTROL
6,Sal,CONTROL
7,Sal,CONTROL
8,Sal,CONTROL
9,Sal,CONTROL
10,Ana,CONTROL
11,Ana,CONTROL
12,Ana,CONTROL
13,Ana,CONTROL
14,Ana,CONTROL
15,Ana,CONTROL
16,Ana,CONTROL
17,Ana,CONTROL
18,Ana,CONTROL
19,Ana,CONTROL
20,Ros,CONTROL
21,Ros,CONTROL
22,Ros,CONTROL
23,Ros,CONTROL
24,Ros,CONTROL
25,Ros,CONTROL
26,Ros,CONTROL
27,Ros,CONTROL
28,Ros,CONTROL
29,Fair,CONTROL
30,Fair,CONTROL
31,Fair,CONTROL
32,Fair,CONTROL
33,Fair,CONTROL
34,Fair,CONTROL
35,Fair,CONTROL
36,Fair,CONTROL
37,Fair,CONTROL
38,Luh,CONTROL
39,Luh,CONTROL
40,Luh,CONTROL
41,Luh,CONTROL
42,Luh,CONTROL
43,Luh,CONTROL
44,Luh,CONTROL
45,Luh,CONTROL
46,Luh,CONTROL
47,Luh,CONTROL
