PlantID,Species,Year,Region,Population,TREATMENT
10DGo001,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo002,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo003,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo004,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo005,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo006,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo007,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo008,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo009,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo010,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo011,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo012,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo013,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo014,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo015,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo016,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo017,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo018,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo019,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo020,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo021,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo022,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo023,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo024,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo025,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo026,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo027,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo028,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo030,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo032,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo033,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo034,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo035,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo036,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo038,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo039,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo040,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo041,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo042,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo043,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo044,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo045,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo046,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo047,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo048,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo049,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo050,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo051,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo052,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo053,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo054,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo055,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo056,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo057,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo058,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo059,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo060,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo061,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo062,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo063,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo064,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo065,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo066,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo067,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo068,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo069,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo070,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo071,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo072,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo073,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo074,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo075,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo076,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo077,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo078,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo079,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo080,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo081,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo082,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo083,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo084,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo085,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo086,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo087,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo088,Godoratissima,2010,lowland,Doettingen,CONTROL
10DGo089,Godoratissima,2010,lowland,Doettingen,CONTROL
