SAMPLEID,Treatment,PlantID,TREATMENT
1,C,1,CONTROL
2,C,2,CONTROL
3,C,3,CONTROL
4,C,4,CONTROL
5,C,5,CONTROL
6,C,7,CONTROL
7,C,8,CONTROL
8,HEIL,1,HERBIVORY
9,HEIL,2,HERBIVORY
10,HEIL,3,HERBIVORY
11,HEIL,4,HERBIVORY
12,HEIL,5,HERBIVORY
13,HEIL,6,HERBIVORY
14,HEIL,7,HERBIVORY
15,HEIL,8,HERBIVORY
16,HE,1,HERBIVORY
17,HE,2,HERBIVORY
18,HE,3,HERBIVORY
19,HE,5,HERBIVORY
20,HE,6,HERBIVORY
21,HE,7,HERBIVORY
22,HE,8,HERBIVORY
23,HL,1,HERBIVORY
24,HL,2,HERBIVORY
25,HL,3,HERBIVORY
26,HL,4,HERBIVORY
27,HL,5,HERBIVORY
28,HL,6,HERBIVORY
29,HL,7,HERBIVORY
30,HL,8,HERBIVORY
