SAMPLEID,Rep.,Light Treatment,TREATMETN
1,1,Control_R:FR,CONTROL
2,1,Control_R:FR,CONTROL
3,1,Control_R:FR,CONTROL
4,1,Control_R:FR,CONTROL
5,2,Control_R:FR,CONTROL
6,2,Control_R:FR,CONTROL
7,2,Control_R:FR,CONTROL
8,2,Control_R:FR,CONTROL
9,3,Control_R:FR,CONTROL
10,3,Control_R:FR,CONTROL
11,3,Control_R:FR,CONTROL
12,3,Control_R:FR,CONTROL
13,1,High_R:FR,CHEMICAL
14,1,High_R:FR,CHEMICAL
15,1,High_R:FR,CHEMICAL
16,1,High_R:FR,CHEMICAL
17,2,High_R:FR,CHEMICAL
18,2,High_R:FR,CHEMICAL
19,2,High_R:FR,CHEMICAL
20,2,High_R:FR,CHEMICAL
21,3,High_R:FR,CHEMICAL
22,3,High_R:FR,CHEMICAL
23,3,High_R:FR,CHEMICAL
24,3,High_R:FR,CHEMICAL
25,1,Low_R:FR,CHEMICAL
26,1,Low_R:FR,CHEMICAL
27,1,Low_R:FR,CHEMICAL
28,1,Low_R:FR,CHEMICAL
29,2,Low_R:FR,CHEMICAL
30,2,Low_R:FR,CHEMICAL
31,2,Low_R:FR,CHEMICAL
32,2,Low_R:FR,CHEMICAL
33,3,Low_R:FR,CHEMICAL
34,3,Low_R:FR,CHEMICAL
35,3,Low_R:FR,CHEMICAL
36,3,Low_R:FR,CHEMICAL
