SAMPLEID,Rep.,Light Treatment
1,1,Control_R:FR
2,1,Control_R:FR
3,1,Control_R:FR
4,1,Control_R:FR
5,2,Control_R:FR
6,2,Control_R:FR
7,2,Control_R:FR
8,2,Control_R:FR
9,3,Control_R:FR
10,3,Control_R:FR
11,3,Control_R:FR
12,3,Control_R:FR
13,1,High_R:FR
14,1,High_R:FR
15,1,High_R:FR
16,1,High_R:FR
17,2,High_R:FR
18,2,High_R:FR
19,2,High_R:FR
20,2,High_R:FR
21,3,High_R:FR
22,3,High_R:FR
23,3,High_R:FR
24,3,High_R:FR
25,1,Low_R:FR
26,1,Low_R:FR
27,1,Low_R:FR
28,1,Low_R:FR
29,2,Low_R:FR
30,2,Low_R:FR
31,2,Low_R:FR
32,2,Low_R:FR
33,3,Low_R:FR
34,3,Low_R:FR
35,3,Low_R:FR
36,3,Low_R:FR
