SAMPLEID,treatment,TREATMENT
1,control,CONTROL
2,control,CONTROL
3,control,CONTROL
4,control,CONTROL
5,control,CONTROL
6,control,CONTROL
7,control,CONTROL
8,control,CONTROL
9,control,CONTROL
10,control,CONTROL
11,control,CONTROL
12,control,CONTROL
13,herbivory,BIOTIC
14,herbivory,BIOTIC
15,herbivory,BIOTIC
16,herbivory,BIOTIC
17,herbivory,BIOTIC
18,herbivory,BIOTIC
19,herbivory,BIOTIC
20,herbivory,BIOTIC
21,herbivory,BIOTIC
22,herbivory,BIOTIC
23,herbivory,BIOTIC
24,herbivory,BIOTIC
25,jasmonate,CHEMICAL
26,jasmonate,CHEMICAL
27,jasmonate,CHEMICAL
28,jasmonate,CHEMICAL
29,jasmonate,CHEMICAL
30,jasmonate,CHEMICAL
31,jasmonate,CHEMICAL
32,jasmonate,CHEMICAL
33,jasmonate,CHEMICAL
34,jasmonate,CHEMICAL
35,jasmonate,CHEMICAL
36,jasmonate,CHEMICAL
