SAMPLEID,Plant,type,block,TREATMENT
1,1,JAI,1,CONTROL
2,4,JAI,2,CONTROL
3,7,JAI,3,CONTROL
4,10,JAI,4,CONTROL
5,13,JAI,5,CONTROL
6,2,JAI,1,CONTROL
7,5,JAI,2,CONTROL
8,8,JAI,3,CONTROL
9,11,JAI,4,CONTROL
10,14,JAI,5,CONTROL
11,3,JAI,1,CONTROL
12,6,JAI,2,CONTROL
13,9,JAI,3,CONTROL
14,12,JAI,4,CONTROL
15,15,JAI,5,CONTROL
16,16,Cast,1,CONTROL
17,19,Cast,2,CONTROL
18,22,Cast,3,CONTROL
19,25,Cast,4,CONTROL
20,28,Cast,5,CONTROL
21,17,Cast,1,CONTROL
22,20,Cast,2,CONTROL
23,23,Cast,3,CONTROL
24,26,Cast,4,CONTROL
25,29,Cast,5,CONTROL
26,18,Cast,1,CONTROL
27,21,Cast,2,CONTROL
28,24,Cast,3,CONTROL
29,27,Cast,4,CONTROL
30,30,Cast,5,CONTROL
31,31,Pro,1,CONTROL
32,34,Pro,2,CONTROL
33,37,Pro,3,CONTROL
34,40,Pro,4,CONTROL
35,43,Pro,5,CONTROL
36,32,Pro,1,CONTROL
37,35,Pro,2,CONTROL
38,38,Pro,3,CONTROL
39,41,Pro,4,CONTROL
40,44,Pro,5,CONTROL
41,33,Pro,1,CONTROL
42,36,Pro,2,CONTROL
43,39,Pro,3,CONTROL
44,42,Pro,4,CONTROL
45,45,Pro,5,CONTROL
