SAMPLEID,family,treatment,COMPOSITE
1,1,c,1_C
2,1,c,1_C
3,1,c,1_C
4,1,c,1_C
5,1,c,1_C
6,1,c,1_C
7,1,c,1_C
8,1,c,1_C
9,1,c,1_C
10,1,c,1_C
11,1,c,1_C
12,1,c,1_C
13,1,c,1_C
14,1,c,1_C
15,1,c,1_C
16,1,c,1_C
17,1,c,1_C
18,1,c,1_C
19,1,c,1_C
20,1,c,1_C
21,1,t,1_T
22,1,t,1_T
23,1,t,1_T
24,1,t,1_T
25,1,t,1_T
26,1,t,1_T
27,1,t,1_T
28,1,t,1_T
29,1,t,1_T
30,1,t,1_T
31,1,t,1_T
32,1,t,1_T
33,1,t,1_T
34,1,t,1_T
35,1,t,1_T
36,1,t,1_T
37,1,t,1_T
38,1,t,1_T
39,1,t,1_T
40,1,t,1_T
41,9,c,9_C
42,9,c,9_C
43,9,c,9_C
44,9,c,9_C
45,9,c,9_C
46,9,c,9_C
47,9,c,9_C
48,9,c,9_C
49,9,c,9_C
50,9,c,9_C
51,9,c,9_C
52,9,c,9_C
53,9,c,9_C
54,9,c,9_C
55,9,c,9_C
56,9,c,9_C
57,9,c,9_C
58,9,c,9_C
59,9,c,9_C
60,9,c,9_C
61,9,t,9_T
62,9,t,9_T
63,9,t,9_T
64,9,t,9_T
65,9,t,9_T
66,9,t,9_T
67,9,t,9_T
68,9,t,9_T
69,9,t,9_T
70,9,t,9_T
71,9,t,9_T
72,9,t,9_T
73,9,t,9_T
74,9,t,9_T
75,9,t,9_T
76,9,t,9_T
77,9,t,9_T
78,9,t,9_T
79,9,t,9_T
80,9,t,9_T
81,10,c,10_C
82,10,c,10_C
83,10,c,10_C
84,10,c,10_C
85,10,c,10_C
86,10,c,10_C
87,10,c,10_C
88,10,c,10_C
89,10,c,10_C
90,10,c,10_C
91,10,c,10_C
92,10,c,10_C
93,10,c,10_C
94,10,c,10_C
95,10,c,10_C
96,10,c,10_C
97,10,c,10_C
98,10,c,10_C
99,10,c,10_C
100,10,c,10_C
101,10,t,10_T
102,10,t,10_T
103,10,t,10_T
104,10,t,10_T
105,10,t,10_T
106,10,t,10_T
107,10,t,10_T
108,10,t,10_T
109,10,t,10_T
110,10,t,10_T
111,10,t,10_T
112,10,t,10_T
113,10,t,10_T
114,10,t,10_T
115,10,t,10_T
116,10,t,10_T
117,10,t,10_T
118,10,t,10_T
119,10,t,10_T
120,10,t,10_T
121,11,c,11_C
122,11,c,11_C
123,11,c,11_C
124,11,c,11_C
125,11,c,11_C
126,11,c,11_C
127,11,c,11_C
128,11,c,11_C
129,11,c,11_C
130,11,c,11_C
131,11,c,11_C
132,11,c,11_C
133,11,c,11_C
134,11,c,11_C
135,11,c,11_C
136,11,c,11_C
137,11,c,11_C
138,11,c,11_C
139,11,c,11_C
140,11,c,11_C
141,11,t,11_T
142,11,t,11_T
143,11,t,11_T
144,11,t,11_T
145,11,t,11_T
146,11,t,11_T
147,11,t,11_T
148,11,t,11_T
149,11,t,11_T
150,11,t,11_T
151,11,t,11_T
152,11,t,11_T
153,11,t,11_T
154,11,t,11_T
155,11,t,11_T
156,11,t,11_T
157,11,t,11_T
158,11,t,11_T
159,11,t,11_T
160,11,t,11_T
161,111,c,111_C
162,111,c,111_C
163,111,c,111_C
164,111,c,111_C
165,111,c,111_C
166,111,c,111_C
167,111,c,111_C
168,111,c,111_C
169,111,c,111_C
170,111,c,111_C
171,111,c,111_C
172,111,c,111_C
173,111,c,111_C
174,111,c,111_C
175,111,c,111_C
176,111,c,111_C
177,111,c,111_C
178,111,c,111_C
179,111,c,111_C
180,111,c,111_C
181,111,t,111_T
182,111,t,111_T
183,111,t,111_T
184,111,t,111_T
185,111,t,111_T
186,111,t,111_T
187,111,t,111_T
188,111,t,111_T
189,111,t,111_T
190,111,t,111_T
191,111,t,111_T
192,111,t,111_T
193,111,t,111_T
194,111,t,111_T
195,111,t,111_T
196,111,t,111_T
197,111,t,111_T
198,111,t,111_T
199,111,t,111_T
200,111,t,111_T
