sample,cultivar,treatment,TREATMENT
1,AP1,Undamaged,CONTROL
2,AP2,Undamaged,CONTROL
3,AP3,Undamaged,CONTROL
4,AP4,Undamaged,CONTROL
5,AP5,Undamaged,CONTROL
6,AP6,Undamaged,CONTROL
7,AS1,Undamaged,CONTROL
8,AS2,Undamaged,CONTROL
9,AS3,Undamaged,CONTROL
10,AS4,Undamaged,CONTROL
11,AS5,Undamaged,CONTROL
12,AS6,Undamaged,CONTROL
13,BV1,Undamaged,CONTROL
14,BV2,Undamaged,CONTROL
15,BV3,Undamaged,CONTROL
16,BV4,Undamaged,CONTROL
17,BV5,Undamaged,CONTROL
18,BV6,Undamaged,CONTROL
19,AM1,Undamaged,CONTROL
20,AM2,Undamaged,CONTROL
21,AM3,Undamaged,CONTROL
22,AM4,Undamaged,CONTROL
23,AM5,Undamaged,CONTROL
24,AM6,Undamaged,CONTROL
25,UP1,Different,BIOTIC
26,UP2,Different,BIOTIC
27,UP3,Different,BIOTIC
28,UP4,Different,BIOTIC
29,UP5,Different,BIOTIC
30,UP6,Different,BIOTIC
31,FP1,Different,BIOTIC
32,FP2,Different,BIOTIC
33,FP3,Different,BIOTIC
34,FP4,Different,BIOTIC
35,FP5,Different,BIOTIC
36,FP6,Different,BIOTIC
37,LP1,Different,BIOTIC
38,LP2,Different,BIOTIC
39,LP3,Different,BIOTIC
40,LP4,Different,BIOTIC
41,LP5,Different,BIOTIC
42,LP6,Different,BIOTIC
43,CLP1,Different,BIOTIC
44,CLP2,Different,BIOTIC
45,CLP3,Different,BIOTIC
46,CLP4,Different,BIOTIC
47,CLP5,Different,BIOTIC
48,CLP6,Different,BIOTIC
49,AP1,Mechanical,CHEMICAL
50,AP2,Mechanical,CHEMICAL
51,AP3,Mechanical,CHEMICAL
52,AP4,Mechanical,CHEMICAL
53,AP5,Mechanical,CHEMICAL
54,AP6,Mechanical,CHEMICAL
55,AS1,Mechanical,CHEMICAL
56,AS2,Mechanical,CHEMICAL
57,AS3,Mechanical,CHEMICAL
58,AS4,Mechanical,CHEMICAL
59,AS5,Mechanical,CHEMICAL
60,AS6,Mechanical,CHEMICAL
61,BV1,Mechanical,CHEMICAL
62,BV2,Mechanical,CHEMICAL
63,BV3,Mechanical,CHEMICAL
64,BV4,Mechanical,CHEMICAL
65,BV5,Mechanical,CHEMICAL
66,BV6,Mechanical,CHEMICAL
67,AM1,Mechanical,CHEMICAL
68,AM2,Mechanical,CHEMICAL
69,AM3,Mechanical,CHEMICAL
70,AM4,Mechanical,CHEMICAL
71,AM5,Mechanical,CHEMICAL
72,AM6,Mechanical,CHEMICAL
