sample,cultivar,TREATMENT
1,AP1,Undamaged
2,AP2,Undamaged
3,AP3,Undamaged
4,AP4,Undamaged
5,AP5,Undamaged
6,AP6,Undamaged
7,AS1,Undamaged
8,AS2,Undamaged
9,AS3,Undamaged
10,AS4,Undamaged
11,AS5,Undamaged
12,AS6,Undamaged
13,BV1,Undamaged
14,BV2,Undamaged
15,BV3,Undamaged
16,BV4,Undamaged
17,BV5,Undamaged
18,BV6,Undamaged
19,AM1,Undamaged
20,AM2,Undamaged
21,AM3,Undamaged
22,AM4,Undamaged
23,AM5,Undamaged
24,AM6,Undamaged
25,UP1,Different
26,UP2,Different
27,UP3,Different
28,UP4,Different
29,UP5,Different
30,UP6,Different
31,FP1,Different
32,FP2,Different
33,FP3,Different
34,FP4,Different
35,FP5,Different
36,FP6,Different
37,LP1,Different
38,LP2,Different
39,LP3,Different
40,LP4,Different
41,LP5,Different
42,LP6,Different
43,CLP1,Different
44,CLP2,Different
45,CLP3,Different
46,CLP4,Different
47,CLP5,Different
48,CLP6,Different
49,AP1,Mechanical
50,AP2,Mechanical
51,AP3,Mechanical
52,AP4,Mechanical
53,AP5,Mechanical
54,AP6,Mechanical
55,AS1,Mechanical
56,AS2,Mechanical
57,AS3,Mechanical
58,AS4,Mechanical
59,AS5,Mechanical
60,AS6,Mechanical
61,BV1,Mechanical
62,BV2,Mechanical
63,BV3,Mechanical
64,BV4,Mechanical
65,BV5,Mechanical
66,BV6,Mechanical
67,AM1,Mechanical
68,AM2,Mechanical
69,AM3,Mechanical
70,AM4,Mechanical
71,AM5,Mechanical
72,AM6,Mechanical
