SAMPLEID,treatments,temperature,TREATMENT
1,uninfested,20,CONTROL
2,uninfested,20,CONTROL
3,uninfested,20,CONTROL
4,uninfested,25,CONTROL
5,uninfested,25,CONTROL
6,uninfested,25,CONTROL
7,uninfested,25,CONTROL
8,uninfested,25,CONTROL
9,uninfested,30,CONTROL
10,uninfested,30,CONTROL
11,uninfested,30,CONTROL
12,uninfested,30,CONTROL
13,uninfested,30,CONTROL
14,uninfested,35,CONTROL
15,uninfested,35,CONTROL
16,uninfested,35,CONTROL
17,uninfested,35,CONTROL
18,uninfested,35,CONTROL
19,uninfested,35,CONTROL
20,uninfested,40,CONTROL
21,uninfested,40,CONTROL
22,uninfested,40,CONTROL
23,mites,20,BIOTIC
24,mites,20,BIOTIC
25,mites,20,BIOTIC
26,mites,20,BIOTIC
27,mites,20,BIOTIC
28,mites,20,BIOTIC
29,mites,25,BIOTIC
30,mites,25,BIOTIC
31,mites,25,BIOTIC
32,mites,25,BIOTIC
33,mites,25,BIOTIC
34,mites,25,BIOTIC
35,mites,25,BIOTIC
36,mites,30,BIOTIC
37,mites,30,BIOTIC
38,mites,30,BIOTIC
39,mites,30,BIOTIC
40,mites,30,BIOTIC
41,mites,35,BIOTIC
42,mites,35,BIOTIC
43,mites,35,BIOTIC
44,mites,35,BIOTIC
45,mites,40,BIOTIC
46,mites,40,BIOTIC
47,mites,40,BIOTIC
48,mites,40,BIOTIC
49,mites,40,BIOTIC
