SAMPLEID,species,treatment,TREATMENT
1,C_alpina,C,CONTROL
2,C_alpina,C,CONTROL
3,C_alpina,C,CONTROL
4,C_alpina,C,CONTROL
5,C_amara,C,CONTROL
6,C_amara,C,CONTROL
7,C_amara,C,CONTROL
8,C_amara,C,CONTROL
9,C_asarifolia,C,CONTROL
10,C_asarifolia,C,CONTROL
11,C_asarifolia,C,CONTROL
12,C_bulbifera,C,CONTROL
13,C_bulbifera,C,CONTROL
14,C_bulbifera,C,CONTROL
15,C_bulbifera,C,CONTROL
16,C_flexuosa,C,CONTROL
17,C_flexuosa,C,CONTROL
18,C_flexuosa,C,CONTROL
19,C_flexuosa,C,CONTROL
20,C_heptaphylla,C,CONTROL
21,C_heptaphylla,C,CONTROL
22,C_heptaphylla,C,CONTROL
23,C_heptaphylla,C,CONTROL
24,C_hirsuta,C,CONTROL
25,C_hirsuta,C,CONTROL
26,C_hirsuta,C,CONTROL
27,C_hirsuta,C,CONTROL
28,C_impariens,C,CONTROL
29,C_impariens,C,CONTROL
30,C_impariens,C,CONTROL
31,C_impariens,C,CONTROL
32,C_kitaibelli,C,CONTROL
33,C_kitaibelli,C,CONTROL
34,C_matthioli,C,CONTROL
35,C_matthioli,C,CONTROL
36,C_matthioli,C,CONTROL
37,C_matthioli,C,CONTROL
38,C_matthioli,C,CONTROL
39,C_palustris,C,CONTROL
40,C_palustris,C,CONTROL
41,C_palustris,C,CONTROL
42,C_palustris,C,CONTROL
43,C_pentaphyllos,C,CONTROL
44,C_pentaphyllos,C,CONTROL
45,C_pentaphyllos,C,CONTROL
46,C_pentaphyllos,C,CONTROL
47,C_pentaphyllos,C,CONTROL
48,C_pratensis,C,CONTROL
49,C_pratensis,C,CONTROL
50,C_pratensis,C,CONTROL
51,C_pratensis,C,CONTROL
52,C_resedifolia,C,CONTROL
53,C_resedifolia,C,CONTROL
54,C_resedifolia,C,CONTROL
55,C_resedifolia,C,CONTROL
56,C_rivularis,C,CONTROL
57,C_rivularis,C,CONTROL
58,C_rivularis,C,CONTROL
59,C_rivularis,C,CONTROL
60,C_trifolia,C,CONTROL
61,C_trifolia,C,CONTROL
62,C_trifolia,C,CONTROL
63,C_trifolia,C,CONTROL
64,C_alpina,JA,CHEMICAL
65,C_alpina,JA,CHEMICAL
66,C_alpina,JA,CHEMICAL
67,C_alpina,JA,CHEMICAL
68,C_amara,JA,CHEMICAL
69,C_amara,JA,CHEMICAL
70,C_amara,JA,CHEMICAL
71,C_amara,JA,CHEMICAL
72,C_asarifolia,JA,CHEMICAL
73,C_asarifolia,JA,CHEMICAL
74,C_asarifolia,JA,CHEMICAL
75,C_bulbifera,JA,CHEMICAL
76,C_bulbifera,JA,CHEMICAL
77,C_bulbifera,JA,CHEMICAL
78,C_flexuosa,JA,CHEMICAL
79,C_flexuosa,JA,CHEMICAL
80,C_flexuosa,JA,CHEMICAL
81,C_flexuosa,JA,CHEMICAL
82,C_heptaphylla,JA,CHEMICAL
83,C_heptaphylla,JA,CHEMICAL
84,C_heptaphylla,JA,CHEMICAL
85,C_heptaphylla,JA,CHEMICAL
86,C_hirsuta,JA,CHEMICAL
87,C_hirsuta,JA,CHEMICAL
88,C_hirsuta,JA,CHEMICAL
89,C_hirsuta,JA,CHEMICAL
90,C_impariens,JA,CHEMICAL
91,C_impariens,JA,CHEMICAL
92,C_impariens,JA,CHEMICAL
93,C_impariens,JA,CHEMICAL
94,C_kitaibelli,JA,CHEMICAL
95,C_kitaibelli,JA,CHEMICAL
96,C_kitaibelli,JA,CHEMICAL
97,C_kitaibelli,JA,CHEMICAL
98,C_matthioli,JA,CHEMICAL
99,C_matthioli,JA,CHEMICAL
100,C_matthioli,JA,CHEMICAL
101,C_matthioli,JA,CHEMICAL
102,C_matthioli,JA,CHEMICAL
103,C_palustris,JA,CHEMICAL
104,C_palustris,JA,CHEMICAL
105,C_palustris,JA,CHEMICAL
106,C_palustris,JA,CHEMICAL
107,C_pentaphyllos,JA,CHEMICAL
108,C_pentaphyllos,JA,CHEMICAL
109,C_pentaphyllos,JA,CHEMICAL
110,C_pentaphyllos,JA,CHEMICAL
111,C_pentaphyllos,JA,CHEMICAL
112,C_pentaphyllos,JA,CHEMICAL
113,C_pentaphyllos,JA,CHEMICAL
114,C_pentaphyllos,JA,CHEMICAL
115,C_pratensis,JA,CHEMICAL
116,C_pratensis,JA,CHEMICAL
117,C_pratensis,JA,CHEMICAL
118,C_pratensis,JA,CHEMICAL
119,C_resedifolia,JA,CHEMICAL
120,C_resedifolia,JA,CHEMICAL
121,C_resedifolia,JA,CHEMICAL
122,C_resedifolia,JA,CHEMICAL
123,C_rivularis,JA,CHEMICAL
124,C_rivularis,JA,CHEMICAL
125,C_rivularis,JA,CHEMICAL
126,C_rivularis,JA,CHEMICAL
127,C_trifolia,JA,CHEMICAL
