SAMPLEID,species,treatment
1,C_alpina,C
2,C_alpina,C
3,C_alpina,C
4,C_alpina,C
5,C_amara,C
6,C_amara,C
7,C_amara,C
8,C_amara,C
9,C_asarifolia,C
10,C_asarifolia,C
11,C_asarifolia,C
12,C_bulbifera,C
13,C_bulbifera,C
14,C_bulbifera,C
15,C_bulbifera,C
16,C_flexuosa,C
17,C_flexuosa,C
18,C_flexuosa,C
19,C_flexuosa,C
20,C_heptaphylla,C
21,C_heptaphylla,C
22,C_heptaphylla,C
23,C_heptaphylla,C
24,C_hirsuta,C
25,C_hirsuta,C
26,C_hirsuta,C
27,C_hirsuta,C
28,C_impariens,C
29,C_impariens,C
30,C_impariens,C
31,C_impariens,C
32,C_kitaibelli,C
33,C_kitaibelli,C
34,C_matthioli,C
35,C_matthioli,C
36,C_matthioli,C
37,C_matthioli,C
38,C_matthioli,C
39,C_palustris,C
40,C_palustris,C
41,C_palustris,C
42,C_palustris,C
43,C_pentaphyllos,C
44,C_pentaphyllos,C
45,C_pentaphyllos,C
46,C_pentaphyllos,C
47,C_pentaphyllos,C
48,C_pratensis,C
49,C_pratensis,C
50,C_pratensis,C
51,C_pratensis,C
52,C_resedifolia,C
53,C_resedifolia,C
54,C_resedifolia,C
55,C_resedifolia,C
56,C_rivularis,C
57,C_rivularis,C
58,C_rivularis,C
59,C_rivularis,C
60,C_trifolia,C
61,C_trifolia,C
62,C_trifolia,C
63,C_trifolia,C
64,C_alpina,JA
65,C_alpina,JA
66,C_alpina,JA
67,C_alpina,JA
68,C_amara,JA
69,C_amara,JA
70,C_amara,JA
71,C_amara,JA
72,C_asarifolia,JA
73,C_asarifolia,JA
74,C_asarifolia,JA
75,C_bulbifera,JA
76,C_bulbifera,JA
77,C_bulbifera,JA
78,C_flexuosa,JA
79,C_flexuosa,JA
80,C_flexuosa,JA
81,C_flexuosa,JA
82,C_heptaphylla,JA
83,C_heptaphylla,JA
84,C_heptaphylla,JA
85,C_heptaphylla,JA
86,C_hirsuta,JA
87,C_hirsuta,JA
88,C_hirsuta,JA
89,C_hirsuta,JA
90,C_impariens,JA
91,C_impariens,JA
92,C_impariens,JA
93,C_impariens,JA
94,C_kitaibelli,JA
95,C_kitaibelli,JA
96,C_kitaibelli,JA
97,C_kitaibelli,JA
98,C_matthioli,JA
99,C_matthioli,JA
100,C_matthioli,JA
101,C_matthioli,JA
102,C_matthioli,JA
103,C_palustris,JA
104,C_palustris,JA
105,C_palustris,JA
106,C_palustris,JA
107,C_pentaphyllos,JA
108,C_pentaphyllos,JA
109,C_pentaphyllos,JA
110,C_pentaphyllos,JA
111,C_pentaphyllos,JA
112,C_pentaphyllos,JA
113,C_pentaphyllos,JA
114,C_pentaphyllos,JA
115,C_pratensis,JA
116,C_pratensis,JA
117,C_pratensis,JA
118,C_pratensis,JA
119,C_resedifolia,JA
120,C_resedifolia,JA
121,C_resedifolia,JA
122,C_resedifolia,JA
123,C_rivularis,JA
124,C_rivularis,JA
125,C_rivularis,JA
126,C_rivularis,JA
127,C_trifolia,JA
