Sample,Treatment1,Treatment2,TREATMENT
M1,Mock,1,CONTROL
M2,Mock,1,CONTROL
M3,Mock,2,CONTROL
M4,Mock,3,CONTROL
M5,Mock,3,CONTROL
M6,Mock,4,CONTROL
M7,Mock,5,CONTROL
W1,WMV-HQ11,1,BIOTIC
W2,WMV-HQ11,2,BIOTIC
W3,WMV-HQ11,2,BIOTIC
W4,WMV-HQ11,3,BIOTIC
W5,WMV-HQ11,3,BIOTIC
W6,WMV-HQ11,4,BIOTIC
W7,WMV-HQ11,5,BIOTIC
Z1,ZYMV-HBCF,1,BIOTIC
Z2,ZYMV-HBCF,2,BIOTIC
Z3,ZYMV-HBCF,2,BIOTIC
Z4,ZYMV-HBCF,3,BIOTIC
Z5,ZYMV-HBCF,4,BIOTIC
Z6,ZYMV-HBCF,4,BIOTIC
Z7,ZYMV-HBCF,5,BIOTIC
ZW1,Mix,1,BIOTIC
ZW2,Mix,1,BIOTIC
ZW3,Mix,2,BIOTIC
ZW4,Mix,3,BIOTIC
ZW5,Mix,4,BIOTIC
ZW6,Mix,4,BIOTIC
ZW7,Mix,5,BIOTIC
