Sample,Treatment1,Treatment2,Treatment3,TREATMENT
1,m ,andr,andr11C11,CONTROL
2,m ,andr,andr1215,CONTROL
3,m ,andr,andr21,CONTROL
4,m ,andr,andr22C16,CONTROL
5,m ,andr,andr319,CONTROL
6,m ,andr,andr3216,CONTROL
7,m ,andr,andr41C1,CONTROL
8,m ,andr,andr4217,CONTROL
9,f,andr,andr50C12,CONTROL
10,m ,andr,andr519,CONTROL
11,m ,andr,andr52C4,CONTROL
12,f,andr,andr5F2A10,CONTROL
13,v,andr,andr5veg5,CONTROL
14,m ,andr,andr622,CONTROL
15,m ,andr,andr62C12,CONTROL
16,m ,andr,andr63C10,CONTROL
17,m ,baby,baby21C15,CONTROL
18,m ,baby,baby222,CONTROL
19,m ,baby,baby31A11,CONTROL
20,m ,baby,baby326,CONTROL
21,v,baby,baby3vegC19,CONTROL
22,m ,baby,baby51A9,CONTROL
23,m ,baby,baby52A17,CONTROL
24,m ,baby,baby61A12,CONTROL
25,f,BG,BG10C3,CONTROL
26,m ,BG,BG1118,CONTROL
27,m ,BG,BG12C9,CONTROL
28,m ,BG,BG132,CONTROL
29,f,BG,BG20A10,CONTROL
30,m ,BG,BG217,CONTROL
31,m ,BG,BG22C17,CONTROL
32,f,BG,BG30A3,CONTROL
33,m ,BG,BG31A13,CONTROL
34,m ,BG,BG32C5,CONTROL
35,m ,BG,BG5112,CONTROL
36,m ,BG,BG52A17,CONTROL
37,m ,BG,BG53C16,CONTROL
38,f,BG,BG604,CONTROL
39,m ,BG,BG616,CONTROL
40,m ,BG,BG6211,CONTROL
41,m ,BG,BG63A8,CONTROL
42,m ,BG,BG64C15,CONTROL
43,m ,BG,BG651,CONTROL
44,f,BG,BG7017,CONTROL
45,m ,BG,BG71A5,CONTROL
46,m ,BG,BG72A3,CONTROL
47,m ,BG,BG7318,CONTROL
48,f,BG,BG7F2C17,CONTROL
49,v,BG,BG7vegC1,CONTROL
50,m ,butter,butter10116,CONTROL
51,m ,butter,butter10210,CONTROL
52,m ,butter,butter117,CONTROL
53,m ,butter,butter12A20,CONTROL
54,m ,butter,butter4118,CONTROL
55,m ,butter,butter41A13,CONTROL
56,m ,butter,butter42C11,CONTROL
57,m ,butter,butter61C3,CONTROL
58,m ,butter,butter628,CONTROL
59,m ,butter,butter633,CONTROL
60,v,butter,butter6veg12,CONTROL
61,m ,butter,butter72C17,CONTROL
62,m ,CA,CA 1110,CONTROL
63,m ,CA,CA 12C13,CONTROL
64,m ,CA,CA 41C17,CONTROL
65,m ,CA,CA 42C3,CONTROL
66,m ,CA,CA 43C9,CONTROL
67,m ,CA,CA 61A10,CONTROL
68,v,CA,CA 6vegC11,CONTROL
69,m ,CA,CA 713,CONTROL
70,m ,CA,CA 72A14,CONTROL
71,f,CA,CA10C18,CONTROL
72,f,CA,CA1F215,CONTROL
73,f,CA,CA50C11,CONTROL
74,f,CA,CA6019,CONTROL
75,m ,CA,CA62A14,CONTROL
76,m ,CA,CA62A3,CONTROL
77,f,CA,CA70C12,CONTROL
78,m ,CA,CA916,CONTROL
79,m ,cinder,cinder11C14,CONTROL
80,m ,cinder,cinder12A4,CONTROL
81,m ,cinder,cinder13A12,CONTROL
82,m ,cinder,cinder21A10,CONTROL
83,m ,cinder,cinder222,CONTROL
84,m ,cinder,cinder31C8,CONTROL
85,v,cinder,cinder3vegA17,CONTROL
86,m ,cinder,cinder413,CONTROL
87,m ,cinder,cinder42C15,CONTROL
88,m ,cinder,cinder51C14,CONTROL
89,m ,cinder,cinder52C12,CONTROL
90,m ,cinder,cinder6113,CONTROL
91,m ,cinder,cinder9110,CONTROL
92,m ,cinder,cinder92C19,CONTROL
93,f,cuke,cuke100A16,CONTROL
94,m ,cuke,cuke101A8,CONTROL
