Sample,Treatment1,Treatment2,Treatment3,Treatment4,TREATMENT
1,R1_1005408,R1,1,UD,CONTROL
2,L1_1005921,L1,1,UD,CONTROL
3,L1_1005355,L1,1,UD,CONTROL
4,L1_1005985,L1,1,UD,CONTROL
5,L1_1006078,L1,1,UD,CONTROL
6,R1_1006052,R1,1,UD,CONTROL
7,L1_1006017,L1,1,UD,CONTROL
8,L1_1006102,L1,1,UD,CONTROL
9,L1_1005923,L1,1,UD,CONTROL
10,R2_1006133,R2,2,PR,BIOTIC
11,R2_1005434,R2,2,PR,BIOTIC
12,L2_1006066,L2,2,PR,BIOTIC
13,R2_1005345,R2,2,PR,BIOTIC
14,L2_1006024,L2,2,PR,BIOTIC
15,L2_1005254,L2,2,PR,BIOTIC
16,R2_1006047,R2,2,PR,BIOTIC
17,R2_1005436,R2,2,PR,BIOTIC
18,R2_1005929,R2,2,PR,BIOTIC
19,R2_1006006,R2,2,PR,BIOTIC
20,R3_1005288,R3,3,PB,BIOTIC
21,L3_1006065,L3,3,PB,BIOTIC
22,L3_1006038,L3,3,PB,BIOTIC
23,L3_1006061,L3,3,PB,BIOTIC
24,R3_1006063,R3,3,PB,BIOTIC
25,R3_1005992,R3,3,PB,BIOTIC
26,R3_1005966,R3,3,PB,BIOTIC
27,L3_1006044,L3,3,PB,BIOTIC
28,R3_1006123,R3,3,PB,BIOTIC
29,R4_1006067,R4,4,PR-CG,BIOTIC
30,L4_1005446,L4,4,PR-CG,BIOTIC
31,R4_1005246,R4,4,PR-CG,BIOTIC
32,L4_1005917,L4,4,PR-CG,BIOTIC
33,R4_1005231,R4,4,PR-CG,BIOTIC
34,L4_1006068,L4,4,PR-CG,BIOTIC
35,R4_1005924,R4,4,PR-CG,BIOTIC
36,L4_1005439,L4,4,PR-CG,BIOTIC
37,L4_1005955,L4,4,PR-CG,BIOTIC
38,L4_1006040,L4,4,PR-CG,BIOTIC
39,L5_1005931,L5,5,PB-CG,BIOTIC
40,L5_1005948,L5,5,PB-CG,BIOTIC
41,R5_1005314,R5,5,PB-CG,BIOTIC
42,R5_1006097,R5,5,PB-CG,BIOTIC
43,L5_1005999,L5,5,PB-CG,BIOTIC
44,R5_1005963,R5,5,PB-CG,BIOTIC
45,L5_1005987,L5,5,PB-CG,BIOTIC
46,R5_1005415,R5,5,PB-CG,BIOTIC
47,R5_1005416,R5,5,PB-CG,BIOTIC
48,L5_1005373,L5,5,PB-CG,BIOTIC
