Sample,Treatment1,Treatment2,Treatment3,TREATMENT
1,C1,C,1,CONTROL
2,C2,C,2,CONTROL
3,C3,C,3,CONTROL
4,C4,C,4,CONTROL
5,C5,C,5,CONTROL
6,C6,C,6,CONTROL
7,C7,C,7,CONTROL
8,C8,C,8,CONTROL
9,C9,C,9,CONTROL
10,C10,C,10,CONTROL
11,S-1,S-,1,BIOTIC
12,S-2,S-,2,BIOTIC
13,S-3,S-,3,BIOTIC
14,S-4,S-,4,BIOTIC
15,S-5,S-,5,BIOTIC
16,S-6,S-,6,BIOTIC
17,S-7,S-,7,BIOTIC
18,S-8,S-,8,BIOTIC
19,S-9,S-,9,BIOTIC
20,S-10,S-,10,BIOTIC
21,S+1,S+,1,BIOTIC
22,S+2,S+,2,BIOTIC
23,S+3,S+,3,BIOTIC
24,S+4,S+,4,BIOTIC
25,S+5,S+,5,BIOTIC
26,S+6,S+,6,BIOTIC
27,S+7,S+,7,BIOTIC
28,S+8,S+,8,BIOTIC
29,S+9,S+,9,BIOTIC
30,S+10,S+,10,BIOTIC
31,PS-1,PS-,1,BIOTIC
32,PS-2,PS-,2,BIOTIC
33,PS-3,PS-,3,BIOTIC
34,PS-4,PS-,4,BIOTIC
35,PS-5,PS-,5,BIOTIC
36,PS-6,PS-,6,BIOTIC
37,PS-7,PS-,7,BIOTIC
38,PS-8,PS-,8,BIOTIC
39,PS-9,PS-,9,BIOTIC
40,PS-10,PS-,10,BIOTIC
41,PS+1,PS+,1,BIOTIC
42,PS+2,PS+,2,BIOTIC
43,PS+3,PS+,3,BIOTIC
44,PS+4,PS+,4,BIOTIC
45,PS+5,PS+,5,BIOTIC
46,PS+6,PS+,6,BIOTIC
47,PS+7,PS+,7,BIOTIC
48,PS+8,PS+,8,BIOTIC
49,PS+9,PS+,9,BIOTIC
50,PS+10,PS+,10,BIOTIC
