Sample,Treatment1,Treatment2,Treatment3
1,C1,C,1
2,C2,C,2
3,C3,C,3
4,C4,C,4
5,C5,C,5
6,C6,C,6
7,C7,C,7
8,C8,C,8
9,C9,C,9
10,C10,C,10
11,S-1,S-,1
12,S-2,S-,2
13,S-3,S-,3
14,S-4,S-,4
15,S-5,S-,5
16,S-6,S-,6
17,S-7,S-,7
18,S-8,S-,8
19,S-9,S-,9
20,S-10,S-,10
21,S+1,S+,1
22,S+2,S+,2
23,S+3,S+,3
24,S+4,S+,4
25,S+5,S+,5
26,S+6,S+,6
27,S+7,S+,7
28,S+8,S+,8
29,S+9,S+,9
30,S+10,S+,10
31,PS-1,PS-,1
32,PS-2,PS-,2
33,PS-3,PS-,3
34,PS-4,PS-,4
35,PS-5,PS-,5
36,PS-6,PS-,6
37,PS-7,PS-,7
38,PS-8,PS-,8
39,PS-9,PS-,9
40,PS-10,PS-,10
41,PS+1,PS+,1
42,PS+2,PS+,2
43,PS+3,PS+,3
44,PS+4,PS+,4
45,PS+5,PS+,5
46,PS+6,PS+,6
47,PS+7,PS+,7
48,PS+8,PS+,8
49,PS+9,PS+,9
50,PS+10,PS+,10
