STUDY,Treatment,Samples,compounds,mantel_c_e,mantel_c_s,mantel_e_s,AvgCHEMdist,AvgENZdist,RDA[AB] adj R2,RDA[bc],RDA[ABC],rda[a],rda[b],rda[c],mantel_informed,p_informed
3,BIOTIC,21,10,0.5122266,0.07740298,0.3074751,0.4133795,0.4204406,0.23266,0.22141,0.27311,0.0517,0.18096,0.04045,,
3,BIOTIC,21,10,0.5122266,-0.08018774,0.02230119,0.4133795,0.4204406,0.07758,0.14565,0.14048,-0.00517,0.08275,0.0629,,
3,BIOTIC,21,10,0.5122266,-0.05256694,0.06549341,0.4133795,0.4204406,0.10099,0.16954,0.16813,-0.0014,0.10239,0.06714,,
6,BIOTIC,7,6,0.4958749,-0.1766279,-0.4523868,0.5007635,0.3785714,-0.02336,0.09165,0.1176,0.02595,-0.04931,0.14095,,
6,BIOTIC,8,6,0.4958749,-0.3190363,-0.2218629,0.5007635,0.3785714,0.0363,0.06341,0.039,-0.0244,0.0607,0.0027,,
6,BIOTIC,8,6,0.4958749,-0.3151206,-0.4183928,0.5007635,0.3785714,-0.02891,0.00633,-0.00014,-0.00647,-0.02244,0.02877,,
12,BIOTIC,15,6,0.6420248,0.1200804,0.02785749,0.3928513,0.4342342,0.09905,0.14937,0.12649,-0.02288,0.12193,0.02744,,
12,BIOTIC,15,6,0.6420248,0.4629723,0.1408682,0.3928513,0.4342342,0.0992,0.32836,0.33322,0.00485,0.09435,0.23402,,
12,BIOTIC,15,6,0.6420248,0.6216102,0.2570415,0.3928513,0.4342342,0.17712,0.49234,0.50188,0.00954,0.16757,0.32476,,
14,BIOTIC,6,5,-0.005661229,-0.532252,0.2158067,0.5177776,0.525,0.23293,-0.01191,0.20029,0.2122,0.02073,-0.03264,,
17,BIOTIC,6,11,0.2166306,-0.1372732,0.0663161,0.3219958,0.307507,0.05717,0.00135,0.04919,0.04784,0.00933,-0.00798,,
17,BIOTIC,7,11,0.2166306,0.2799294,0.4855283,0.3219958,0.307507,0.32471,0.15973,0.36315,0.20342,0.12129,0.03844,,
17,BIOTIC,5,11,0.2166306,-0.1202624,0.04033825,0.3219958,0.307507,0.04071,0.00082,0.03278,0.03196,0.00875,-0.00793,,
17,BIOTIC,4,11,0.2166306,0.01686216,0.08224867,0.3219958,0.307507,0.03666,0.01719,0.0361,0.01891,0.01775,-0.00056,,
17,BIOTIC,5,11,0.2166306,-0.2762797,0.06351696,0.3219958,0.307507,0.05789,-0.00836,0.06238,0.07074,-0.01285,0.00449,,
20,BIOTIC,10,13,0.1396054,0.06763557,0.2091943,0.3507468,0.3369963,0.14453,0.10245,0.18393,0.08148,0.06305,0.03939,,
20,BIOTIC,11,13,0.1396054,-0.05961125,0.2914483,0.3507468,0.3369963,0.18005,0.03315,0.17817,0.14502,0.03503,-0.00188,,
20,BIOTIC,12,13,0.1396054,-0.08776072,0.06616312,0.3507468,0.3369963,0.07358,0.04398,0.08664,0.04266,0.03092,0.01306,,
20,BIOTIC,10,13,0.1396054,-0.3122893,-0.09397986,0.3507468,0.3369963,0.01703,-0.00335,0.01111,0.01446,0.00257,-0.00592,,
20,BIOTIC,11,13,0.1396054,0.101568,0.1627318,0.3507468,0.3369963,0.11309,0.11229,0.16637,0.05408,0.05901,0.05328,,
21,BIOTIC,5,11,0.6846488,-0.1484644,-0.03304249,0.3624844,0.3688312,-0.00376,-0.00799,-0.01034,-0.00235,-0.0014,-0.00658,,
22,BIOTIC,7,8,0.6298377,0.02854708,0.4487066,,,0.37273,0.13565,0.38746,0.25181,0.12092,0.01473,,
22,BIOTIC,7,8,0.6298377,0.1209682,0.1203719,0.4231577,0.3937075,0.09274,0.11083,0.10302,-0.00781,0.10054,0.01029,,
22,BIOTIC,7,9,0.6436122,-0.03283225,-0.04725823,0.3316335,0.3888889,0.05954,0.08614,0.07604,-0.0101,0.06964,0.0165,,
