Treatment,adjR2,RDA
BIOTIC,0.23266,A+B
BIOTIC,0.07758,A+B
BIOTIC,0.10099,A+B
BIOTIC,-0.02336,A+B
BIOTIC,0.0363,A+B
BIOTIC,-0.02891,A+B
BIOTIC,0.09905,A+B
BIOTIC,0.0992,A+B
BIOTIC,0.17712,A+B
BIOTIC,0.23293,A+B
BIOTIC,0.05717,A+B
BIOTIC,0.32471,A+B
BIOTIC,0.04071,A+B
BIOTIC,0.03666,A+B
BIOTIC,0.05789,A+B
BIOTIC,0.14453,A+B
BIOTIC,0.18005,A+B
BIOTIC,0.07358,A+B
BIOTIC,0.01703,A+B
BIOTIC,0.11309,A+B
BIOTIC,-0.00376,A+B
BIOTIC,0.37273,A+B
BIOTIC,0.09274,A+B
BIOTIC,0.05954,A+B
BIOTIC,0.01931,A+B
BIOTIC,0.18238,A+B
BIOTIC,0.03818,A+B
BIOTIC,0.04718,A+B
BIOTIC,0.09975,A+B
BIOTIC,0.07047,A+B
BIOTIC,0.11407,A+B
BIOTIC,0.08888,A+B
BIOTIC,0.09759,A+B
BIOTIC,0.08061,A+B
BIOTIC,0.31047,A+B
BIOTIC,0.0767,A+B
BIOTIC,0.11763,A+B
BIOTIC,0.01028,A+B
BIOTIC,0.13133,A+B
BIOTIC,0.00201,A+B
BIOTIC,0.07429,A+B
BIOTIC,0.14604,A+B
BIOTIC,0.07301,A+B
BIOTIC,0.07608,A+B
CONTROL,0.05642,A+B
CONTROL,-0.0268,A+B
CONTROL,0.28482,A+B
CONTROL,-0.00392,A+B
CONTROL,0.09648,A+B
CONTROL,0.00104,A+B
CONTROL,0.00851,A+B
CONTROL,0.03451,A+B
CONTROL,0.25355,A+B
CONTROL,0.00801,A+B
CONTROL,0.00282,A+B
CONTROL,0.02061,A+B
CONTROL,0.18136,A+B
CONTROL,0.12849,A+B
CONTROL,0.00478,A+B
CONTROL,0.62003,A+B
CONTROL,0.10319,A+B
CONTROL,-0.02275,A+B
CONTROL,0.08636,A+B
CONTROL,0.373,A+B
CONTROL,0.18159,A+B
CONTROL,0.0056,A+B
CONTROL,0.12229,A+B
CONTROL,0.10631,A+B
CONTROL,0.00383,A+B
CONTROL,0.01497,A+B
CONTROL,0.35058,A+B
CONTROL,0.01451,A+B
CONTROL,0.28328,A+B
CONTROL,0.14719,A+B
CONTROL,0.00215,A+B
CONTROL,-0.00664,A+B
CONTROL,0.04945,A+B
CONTROL,0.01676,A+B
CONTROL,0.02677,A+B
CONTROL,0.05778,A+B
CONTROL,0.16588,A+B
CONTROL,0.099,A+B
CONTROL,0.02608,A+B
CONTROL,0.01995,A+B
CONTROL,0.07485,A+B
CONTROL,0.03553,A+B
CONTROL,0.06029,A+B
CONTROL,-0.00439,A+B
CONTROL,0.02462,A+B
CONTROL,0.07274,A+B
CONTROL,0.04539,A+B
CONTROL,0.05223,A+B
HORMONE,0.22524,A+B
HORMONE,0.69745,A+B
HORMONE,0.00545,A+B
HORMONE,0.01351,A+B
HORMONE,0.0477,A+B
HORMONE,0.64177,A+B
HORMONE,0.09804,A+B
HORMONE,-0.0055,A+B
HORMONE,-0.01576,A+B
HORMONE,0.22586,A+B
HORMONE,-0.00864,A+B
HORMONE,0.18779,A+B
HORMONE,0.81584,A+B
HORMONE,0.27222,A+B
HORMONE,0.00951,A+B
HORMONE,-0.01349,A+B
HORMONE,-0.01904,A+B
HORMONE,0.08657,A+B
HORMONE,0.04382,A+B
HORMONE,0.10351,A+B
BIOTIC,0.22141,B+C
BIOTIC,0.14565,B+C
BIOTIC,0.16954,B+C
BIOTIC,0.09165,B+C
BIOTIC,0.06341,B+C
BIOTIC,0.00633,B+C
BIOTIC,0.14937,B+C
BIOTIC,0.32836,B+C
BIOTIC,0.49234,B+C
BIOTIC,-0.01191,B+C
BIOTIC,0.00135,B+C
BIOTIC,0.15973,B+C
BIOTIC,0.00082,B+C
BIOTIC,0.01719,B+C
BIOTIC,-0.00836,B+C
BIOTIC,0.10245,B+C
BIOTIC,0.03315,B+C
BIOTIC,0.04398,B+C
BIOTIC,-0.00335,B+C
BIOTIC,0.11229,B+C
BIOTIC,-0.00799,B+C
BIOTIC,0.13565,B+C
BIOTIC,0.11083,B+C
BIOTIC,0.08614,B+C
BIOTIC,0.07444,B+C
BIOTIC,0.22863,B+C
BIOTIC,0.00067,B+C
BIOTIC,0.04995,B+C
BIOTIC,0.06728,B+C
BIOTIC,0.06236,B+C
BIOTIC,0.09274,B+C
BIOTIC,0.13938,B+C
BIOTIC,0.02681,B+C
BIOTIC,0.08841,B+C
BIOTIC,0.12495,B+C
BIOTIC,0.08992,B+C
BIOTIC,0.1494,B+C
BIOTIC,0.02123,B+C
BIOTIC,0.1089,B+C
BIOTIC,0.01062,B+C
BIOTIC,0.03659,B+C
BIOTIC,0.1075,B+C
BIOTIC,0.08757,B+C
BIOTIC,0.0392,B+C
CONTROL,0.16026,B+C
CONTROL,0.11749,B+C
CONTROL,0.22952,B+C
CONTROL,0.01255,B+C
CONTROL,0.08611,B+C
CONTROL,0.03284,B+C
CONTROL,0.00172,B+C
CONTROL,0.01158,B+C
CONTROL,0.32639,B+C
CONTROL,-0.0031,B+C
CONTROL,0.23968,B+C
CONTROL,0.02795,B+C
CONTROL,0.04527,B+C
CONTROL,0.01028,B+C
CONTROL,0.00095,B+C
CONTROL,0.20337,B+C
CONTROL,0.1183,B+C
CONTROL,-0.0127,B+C
CONTROL,0.08146,B+C
CONTROL,0.24652,B+C
CONTROL,0.31829,B+C
CONTROL,0.08537,B+C
CONTROL,0.12798,B+C
CONTROL,0.20521,B+C
CONTROL,0.22404,B+C
CONTROL,0.01402,B+C
CONTROL,0.24746,B+C
CONTROL,0.04936,B+C
CONTROL,0.08841,B+C
CONTROL,0.30362,B+C
CONTROL,0.0355,B+C
CONTROL,0.03513,B+C
CONTROL,0.0445,B+C
CONTROL,0.01638,B+C
CONTROL,0.00692,B+C
CONTROL,0.08509,B+C
CONTROL,0.14165,B+C
CONTROL,0.11647,B+C
CONTROL,0.04168,B+C
CONTROL,0.04571,B+C
CONTROL,0.10379,B+C
CONTROL,0.07229,B+C
CONTROL,0.11721,B+C
CONTROL,0.00486,B+C
CONTROL,0.15557,B+C
CONTROL,0.05616,B+C
CONTROL,0.06015,B+C
CONTROL,0.16575,B+C
HORMONE,0.08468,B+C
HORMONE,0.3923,B+C
HORMONE,-0.01777,B+C
HORMONE,0.03509,B+C
HORMONE,0.02164,B+C
HORMONE,0.35884,B+C
HORMONE,0.07738,B+C
HORMONE,-0.0287,B+C
HORMONE,0.12635,B+C
HORMONE,0.23631,B+C
HORMONE,-0.01521,B+C
HORMONE,0.20367,B+C
HORMONE,0.38878,B+C
HORMONE,0.10962,B+C
HORMONE,-0.00001,B+C
HORMONE,0.1268,B+C
HORMONE,-0.01603,B+C
HORMONE,0.24334,B+C
HORMONE,0.11107,B+C
HORMONE,0.07084,B+C
BIOTIC,0.27311,A+B+C
BIOTIC,0.14048,A+B+C
BIOTIC,0.16813,A+B+C
BIOTIC,0.1176,A+B+C
BIOTIC,0.039,A+B+C
BIOTIC,-0.00014,A+B+C
BIOTIC,0.12649,A+B+C
BIOTIC,0.33322,A+B+C
BIOTIC,0.50188,A+B+C
BIOTIC,0.20029,A+B+C
BIOTIC,0.04919,A+B+C
BIOTIC,0.36315,A+B+C
BIOTIC,0.03278,A+B+C
BIOTIC,0.0361,A+B+C
BIOTIC,0.06238,A+B+C
BIOTIC,0.18393,A+B+C
BIOTIC,0.17817,A+B+C
BIOTIC,0.08664,A+B+C
BIOTIC,0.01111,A+B+C
