"","Study","ChemistryDist","Chemistry.SD","Chemistry.SE","EnzymeDist","ENZYME.SD","ENZYME.SE"
"1","Samples_STUDY001",0.238471850025165,0.157259550148487,0.0165766120760896,0.595061728395062,0.436098642000267,0.0459688331075737
"2","Samples_002",0.166878992117654,0.0836511244837925,0.00881760274010204,0.664222199214568,0.39084516735036,0.0421459182885513
"3","Samples_STUDY003",0.248904878421087,0.149514008201279,0.0131132459891669,0.805083220872695,0.345666354627637,0.0303169448330796
"4","Samples_STUDY004",0.19663401660631,0.105422350582299,0.00727483333217597,0.762314692483599,0.367562970932082,0.0256093256679492
"5","Samples_STUDY005",0.13318176241691,0.0779144848267618,0.0142251736320038,0.707142857142857,0.225960618378958,0.042702543023221
"6","Samples_STUDY006",0.218549608897529,0.112830160191573,0.0252295908100549,0.742690058479532,0.403448548237751,0.0902138379283213
"7","Samples_007",0.152399071844607,0.124084070431932,0.013227406352204,0.461988304093567,0.429658199317073,0.0458017179412308
"8","Samples_008",0.247220217380821,0.152161169378243,0.0112789362823977,0.65692007797271,0.431394582940638,0.0321542537526813
"9","Samples_009_azacytidine",0.184143988440165,0.127244984788967,0.0135643609548333,0.635075207465217,0.38775782687724,0.0408732637829778
"10","Samples_009_herbivory",0.224321441582401,0.127543439437863,0.0122728731821369,0.770977546484429,0.351682702403201,0.0335316300026243
"11","Samples_010",0.187652847002153,0.131664042391119,0.0240384553433107,0.762962962962963,0.399801284541159,0.0729933940209114
"12","Samples_011",0.213817793330214,0.133068638320658,0.00244255169757396,0.710979461213733,0.398104450469247,0.007322254469449
"13","Samples_012",0.268042042521224,0.133272679151614,0.0298006770126528,0.669005847953216,0.417482556391159,0.0933519375511022
"14","Samples_013",0.221049329687079,0.137824982997003,0.00955644313914707,0.714257152853644,0.414143511986218,0.0285786174246777
"15","Samples_014_A",0.209624511821723,0.141734216257129,0.0113478191901325,0.581801012502767,0.431604373587298,0.0345560057583676
"16","Samples_014_B",0.25534388752823,0.148346293772059,0.0085082434631737,0.754187552213868,0.392607467748986,0.0225175825841741
"17","Samples_014_C",0.223686233966759,0.140649300678368,0.00855964385320764,0.718213815640716,0.406652089450895,0.0247480580498737
"18","Samples_015",0.180227325839824,0.127049164333657,0.012225311538059,0.747765640516385,0.387227015451512,0.0376108125630851
"19","Samples_016_1",0.164407307306669,0.135799643279314,0.0118198417908415,0.383715699505173,0.412508435180042,0.036179383110645
"20","Samples_016_2",0.225980775871498,0.140911067911984,0.0112819145777246,0.660818713450292,0.433226619128201,0.0351393189133262
"21","Samples_017",0.230429397048821,0.141257505998789,0.018876328241344,0.674074074074074,0.429258375945487,0.0584146660490131
"22","Samples_018",0.278675047524924,0.154413697472155,0.0123629901492167,0.714499925026241,0.40626937591187,0.0325275825561563
"23","Samples_019",0.220452477738061,0.135491545887927,0.0117930253549921,0.586744639376218,0.440964496703493,0.038381032972914
"24","Samples_020",0.242557130118515,0.148383619304886,0.0174871772379147,0.825507308074358,0.357872839840416,0.0421757186422742
"25","Samples_021",0.176966498182882,0.137858584616301,0.0184221282664208,0.510937838423218,0.442010759159401,0.0601500455978199
"26","Samples_022",0.252184312988619,0.145695213038536,0.00411759016947891,0.744068755889502,0.388656443335406,0.010975317782894
"27","Samples_023",0.255353298291774,0.148314994888732,0.00659340575306831,0.77677662811147,0.376559693373801,0.0168066816224651
"28","Samples_024",0.190743384689816,0.136549091317599,0.00557459330948035,0.652452186075272,0.433008633250141,0.0177367247109419
"29","Samples_025",0.208057424154025,0.140943486759774,0.0057539937521694,0.626277304320898,0.43591125406827,0.0178856553993114
