"","Dataset","Numbercompounds","numberSamples","MeanChemdist","SDChemdist","MeanEnzydist","SDEnzydist","MeanSampledist","SDSampledist"
"1","Samples_STUDY001","10","12","0.238471850025165","0.158150546231362","0.595061728395062","0.4385694756088","0.754080645071298","0.589580806738864"
"2","Samples_002","10","84","0.166878992117654","0.0841250723246253","0.634701212582809","0.408307563616401","0.768944377639737","0.224861128981053"
"3","Samples_STUDY003","12","47","0.245133592384404","0.15205647937688","0.792884990253411","0.358310901834521","0.600906114177022","0.322863014551478"
"4","Samples_STUDY004","15","1162","0.19663401660631","0.105675465833992","0.747794412626768","0.379626833972014","0.789917507116561","0.195934754743214"
"5","Samples_STUDY005","6","30","0.13318176241691","0.0792936093238224","0.66","0.287352446607696","0.608599933644628","0.278998272720436"
"6","Samples_STUDY006","5","20","0.218549608897529","0.115921969907028","0.742690058479532","0.414503980039049","0.353471540248031","0.144724121582717"
"7","Samples_007","10","36","0.149012425803616","0.125451241402641","0.451721897335932","0.432725468075449","0.526623991783151","0.252632040442661"
"8","Samples_008","14","7","0.247220217380821","0.152583253876665","0.649701176016966","0.435671472318053","0.853962664282629","0.478972410545388"
"9","Samples_009_azacytidine","10","200","0.180051899808161","0.129463615690198","0.635075207465217","0.389954772655896","0.718349280382717","0.23077104887785"
"10","Samples_009_herbivory","11","36","0.220242869917267","0.13050523592184","0.770977546484429","0.353307111520301","0.745355444118557","0.349785269211761"
"11","Samples_010","6","45","0.187652847002153","0.133994560351256","0.762962962962963","0.406877962859612","0.589135766577076","0.440565154988116"
"12","Samples_011","55","37","0.213673808284201","0.133161867704422","0.707628042878045","0.400207604737548","0.848781741311008","0.458299196819498"
"13","Samples_012","5","72","0.268042042521224","0.1369246615959","0.669005847953216","0.428922552768825","0.159108272583143","0.0780014574194076"
"14","Samples_013","15","12","0.218944097975773","0.139175286567956","0.714257152853644","0.415137855583136","0.70474935594843","0.48506266257511"
"15","Samples_014_A","13","17","0.209624511821723","0.142193647660585","0.581801012502767","0.433003418986014","0.884710656762891","0.305401200537242"
"16","Samples_014_B","18","11","0.25367497323066","0.149533874870446","0.749258221807241","0.396675209510581","0.748189208400324","0.418981410179607"
"17","Samples_014_C","17","12","0.222041482246415","0.141692860076132","0.712932831702182","0.410543945397288","0.86156073877406","0.384161701293371"
"18","Samples_015","11","49","0.176950465370009","0.128773489955437","0.720574162679426","0.407106801418481","0.593470285877334","0.24309135122434"
"19","Samples_016_1","12","41","0.164407307306669","0.136320949009126","0.377901825270246","0.413624390179436","0.730162724543436","0.247868871267644"
"20","Samples_016_2","13","10","0.225980775871498","0.141367831080419","0.643874643874644","0.441679340161031","0.883229808661067","0.488487770469817"
"21","Samples_017","8","127","0.230429397048821","0.14255944601872","0.65","0.443934893087276","0.881184286528856","0.237051167857036"
"22","Samples_018","13","65","0.278675047524924","0.154914229408733","0.714499925026241","0.407586297926086","0.812788662992985","0.238655743386761"
"23","Samples_019","12","20","0.220452477738061","0.136011668897877","0.586744639376218","0.442657264911304","0.69522268834007","0.347768907505853"
"24","Samples_020","9","28","0.242557130118515","0.149439743802321","0.825507308074358","0.360420009635118","0.770258673146707","0.333426259987477"
"25","Samples_021","8","15","0.176966498182882","0.139129197509641","0.492690058479532","0.448418291852261","0.959437275100537","0.307421195187948"
"26","Samples_022","36","246","0.250583142747422","0.146665754222157","0.740525571337648","0.391256243639302","0.848270532906646","0.233509205359304"
"27","Samples_023","23","91","0.255353298291774","0.148462059867738","0.770636101407032","0.381712013808899","0.669610433505863","0.297729644445449"
"28","Samples_024","25","48","0.190743384689816","0.136663215107948","0.64810250483477","0.435183095060615","0.66309909239795","0.425166127709391"
"29","Samples_025","25","50","0.208057424154025","0.141061283259032","0.620014531277689","0.438549693777902","0.636980276034248","0.274041170635341"
