"","Df","R.squared","Adj.R.squared","Testable","Component","Pvalue","STudy"
"[a+b] = X1",1,0.0365475088341759,0.0267163609651369,TRUE,"[E|C+E:C]","0.058","Samples_STUDY001"
"[b+c] = X2",1,0.0443366963816531,0.0345850300182005,TRUE,"[E:C+C|E]","0.041","Samples_STUDY001"
"[a+b+c] = X1+X2",2,0.045316584317987,0.0256323901802136,TRUE,"[E|C+E:C+C|E]","0.091","Samples_STUDY001"
"[a] = X1|X2",1,NA,-0.00895263983798689,TRUE,"[E|C]","0.731","Samples_STUDY001"
"[b]",0,NA,0.0356690008031237,FALSE,"[E:C]","NA","Samples_STUDY001"
"[c] = X2|X1",1,NA,-0.00108397078492328,TRUE,"[C|E]","0.372","Samples_STUDY001"
"[d] = Residuals",NA,NA,0.974367609819786,FALSE,"Residuals","NA","Samples_STUDY001"
"[a+b] = X11",1,0.13856957734418,0.129779470990549,TRUE,"[E|C+E:C]","0.002","Samples_002"
"[b+c] = X21",1,0.261647045537903,0.254112831716861,TRUE,"[E:C+C|E]","0.001","Samples_002"
"[a+b+c] = X1+X21",2,0.266931688248603,0.251816877697027,TRUE,"[E|C+E:C+C|E]","0.001","Samples_002"
"[a] = X1|X21",1,NA,-0.00229595401983407,TRUE,"[E|C]","0.391","Samples_002"
"[b]1",0,NA,0.132075425010383,FALSE,"[E:C]","NA","Samples_002"
"[c] = X2|X11",1,NA,0.122037406706478,TRUE,"[C|E]","0.001","Samples_002"
"[d] = Residuals1",NA,NA,0.748183122302973,FALSE,"Residuals","NA","Samples_002"
"[a+b] = X12",1,0.191613900791267,0.185921040937684,TRUE,"[E|C+E:C]","0.001","Samples_STUDY003"
"[b+c] = X22",1,0.112182270774818,0.105930033245063,TRUE,"[E:C+C|E]","0.001","Samples_STUDY003"
"[a+b+c] = X1+X22",2,0.205741646075254,0.194475570133059,TRUE,"[E|C+E:C+C|E]","0.001","Samples_STUDY003"
"[a] = X1|X22",1,NA,0.0885455368879963,TRUE,"[E|C]","0.001","Samples_STUDY003"
"[b]2",0,NA,0.0973755040496876,FALSE,"[E:C]","NA","Samples_STUDY003"
"[c] = X2|X12",1,NA,0.00855452919537525,TRUE,"[C|E]","0.121","Samples_STUDY003"
"[d] = Residuals2",NA,NA,0.805524429866941,FALSE,"Residuals","NA","Samples_STUDY003"
"[a+b] = X13",1,0.23346800165877,0.230030638437509,TRUE,"[E|C+E:C]","0.001","Samples_STUDY004"
"[b+c] = X23",1,0.107581794951191,0.103579919592228,TRUE,"[E:C+C|E]","0.001","Samples_STUDY004"
"[a+b+c] = X1+X23",2,0.25400016044617,0.247279441170911,TRUE,"[E|C+E:C+C|E]","0.001","Samples_STUDY004"
"[a] = X1|X23",1,NA,0.143699521578683,TRUE,"[E|C]","0.001","Samples_STUDY004"
"[b]3",0,NA,0.0863311168588266,FALSE,"[E:C]","NA","Samples_STUDY004"
"[c] = X2|X13",1,NA,0.0172488027334012,TRUE,"[C|E]","0.013","Samples_STUDY004"
"[d] = Residuals3",NA,NA,0.752720558829089,FALSE,"Residuals","NA","Samples_STUDY004"
"[a+b] = X14",1,0.0404791357049578,0.012257933813927,TRUE,"[E|C+E:C]","0.223","Samples_STUDY005"
"[b+c] = X24",1,0.0400343400707657,0.0118000559552,TRUE,"[E:C+C|E]","0.234","Samples_STUDY005"
"[a+b+c] = X1+X24",2,0.0435699316800846,-0.0143955270059708,TRUE,"[E|C+E:C+C|E]","0.479","Samples_STUDY005"
"[a] = X1|X24",1,NA,-0.0261955829611707,TRUE,"[E|C]","0.732","Samples_STUDY005"
"[b]4",0,NA,0.0384535167750978,FALSE,"[E:C]","NA","Samples_STUDY005"
"[c] = X2|X14",1,NA,-0.0266534608198978,TRUE,"[C|E]","0.754","Samples_STUDY005"
"[d] = Residuals4",NA,NA,1.01439552700597,FALSE,"Residuals","NA","Samples_STUDY005"
"[a+b] = X15",1,0.555798629435934,0.536485526367931,TRUE,"[E|C+E:C]","0.001","Samples_STUDY006"
"[b+c] = X25",1,0.27774317237932,0.246340701613203,TRUE,"[E:C+C|E]","0.009","Samples_STUDY006"
"[a+b+c] = X1+X25",2,0.604467044364927,0.568509502943557,TRUE,"[E|C+E:C+C|E]","0.001","Samples_STUDY006"
"[a] = X1|X25",1,NA,0.322168801330354,TRUE,"[E|C]","0.002","Samples_STUDY006"
"[b]5",0,NA,0.214316725037577,FALSE,"[E:C]","NA","Samples_STUDY006"
"[c] = X2|X15",1,NA,0.0320239765756258,TRUE,"[C|E]","0.126","Samples_STUDY006"
"[d] = Residuals5",NA,NA,0.431490497056443,FALSE,"Residuals","NA","Samples_STUDY006"
"[a+b] = X16",1,0.0410704416342052,0.0312854461406767,TRUE,"[E|C+E:C]","0.044","Samples_007"
"[b+c] = X26",1,0.0238776046183974,0.0139171720124627,TRUE,"[E:C+C|E]","0.126","Samples_007"
"[a+b+c] = X1+X26",2,0.0410879170797686,0.021316533926774,TRUE,"[E|C+E:C+C|E]","0.13","Samples_007"
"[a] = X1|X26",1,NA,0.00739936191431134,TRUE,"[E|C]","0.19","Samples_007"
"[b]6",0,NA,0.0238860842263654,FALSE,"[E:C]","NA","Samples_007"
"[c] = X2|X16",1,NA,-0.00996891221390273,TRUE,"[C|E]","0.975","Samples_007"
"[d] = Residuals6",NA,NA,0.978683466073226,FALSE,"Residuals","NA","Samples_007"
"[a+b] = X17",1,0.0578331702530673,0.0529766402028253,TRUE,"[E|C+E:C]","0.002","Samples_008"
"[b+c] = X27",1,0.0431282871118799,0.0381959586949308,TRUE,"[E:C+C|E]","0.003","Samples_008"
"[a+b+c] = X1+X27",2,0.0578491202458979,0.0480858986940419,TRUE,"[E|C+E:C+C|E]","0.003","Samples_008"
"[a] = X1|X27",1,NA,0.00988993999911114,TRUE,"[E|C]","0.083","Samples_008"
"[b]7",0,NA,0.0430867002037142,FALSE,"[E:C]","NA","Samples_008"
"[c] = X2|X17",1,NA,-0.00489074150878344,TRUE,"[C|E]","0.96","Samples_008"
"[d] = Residuals7",NA,NA,0.951914101305958,FALSE,"Residuals","NA","Samples_008"
"[a+b] = X18",1,0.140537256491447,0.131767228496462,TRUE,"[E|C+E:C]","0.001","Samples_009_azacytidine"
"[b+c] = X28",1,0.169764726614012,0.161292938110074,TRUE,"[E:C+C|E]","0.001","Samples_009_azacytidine"
"[a+b+c] = X1+X28",2,0.175648782406846,0.158651850085337,TRUE,"[E|C+E:C+C|E]","0.001","Samples_009_azacytidine"
"[a] = X1|X28",1,NA,-0.00264108802473628,TRUE,"[E|C]","0.416","Samples_009_azacytidine"
"[b]8",0,NA,0.134408316521198,FALSE,"[E:C]","NA","Samples_009_azacytidine"
"[c] = X2|X18",1,NA,0.0268846215888755,TRUE,"[C|E]","0.047","Samples_009_azacytidine"
"[d] = Residuals8",NA,NA,0.841348149914663,FALSE,"Residuals","NA","Samples_009_azacytidine"
"[a+b] = X19",1,0.390482687141681,0.385360692915981,TRUE,"[E|C+E:C]","0.001","Samples_009_herbivory"
"[b+c] = X29",1,0.474993793595018,0.470581976734472,TRUE,"[E:C+C|E]","0.001","Samples_009_herbivory"
"[a+b+c] = X1+X29",2,0.489429997266408,0.480776268406516,TRUE,"[E|C+E:C+C|E]","0.001","Samples_009_herbivory"
"[a] = X1|X29",1,NA,0.0101942916720442,TRUE,"[E|C]","0.075","Samples_009_herbivory"
"[b]9",0,NA,0.375166401243936,FALSE,"[E:C]","NA","Samples_009_herbivory"
