"","Dataset","Treatment","Comparisons","MantelR","SimPval","HypothesisTest","Std.obs","Expectation","Variance"
"1","Samples_STUDY001","CONTROL","EC","0.951802002878786","0.0042","greater","4.2395943804232","0.00201459203537072","0.0501884983873854"
"2","Samples_STUDY001","CONTROL","CS","0.0818753169571942","0.1946","greater","0.784802059279637","-0.00227271039404517","0.0114965520789813"
"3","Samples_STUDY001","CONTROL","ES","-0.0360196382201419","0.5878","greater","-0.412467083333397","0.000875512932352877","0.00800128972588244"
"4","Samples_002","CONTROL","EC","0.498981161527363","0.0158","greater","3.30209248909607","0.000300090913450464","0.0228069546851965"
"5","Samples_002","CONTROL","CS","0.0831203833503459","0.2812","greater","0.547811256125728","0.000742169854409209","0.0226132422572038"
"6","Samples_002","CONTROL","ES","-0.0581637397481336","0.6304","greater","-0.410870083030401","0.000703214745617183","0.020527407146601"
"7","Samples_STUDY003","CONTROL","EC","0.402070996893961","0.0144","greater","2.26026788664063","-0.000330658870927733","0.0316956519075891"
"8","Samples_STUDY003","CONTROL","CS","0.166787504566409","0.2029","greater","0.867935832249605","-0.00519091265298822","0.0392620216889331"
"9","Samples_STUDY003","CONTROL","ES","0.243491369134329","0.1208","greater","1.30973674829036","-0.000233396848062817","0.0346283101062835"
"10","Samples_STUDY004","CONTROL","EC","0.26218827240341","0.0154","greater","2.72751589838531","0.000658381361627838","0.00919407589211754"
"11","Samples_STUDY004","CONTROL","CS","0.0221234926566395","0.4045","greater","0.209939043346259","2.41441064228738e-05","0.0110808357018155"
"12","Samples_STUDY004","CONTROL","ES","0.250692782467791","0.0097","greater","2.70705679795554","-0.000248729885450134","0.00859310831570125"
"13","Samples_STUDY005","CONTROL","EC","0.760389493138137","0.0133","greater","2.34375025876913","-0.0017201697232469","0.105733417637958"
"14","Samples_STUDY005","CONTROL","CS","-0.114995833372747","0.5606","greater","-0.35217065507691","-0.000224874206738781","0.106208112792127"
"15","Samples_STUDY005","CONTROL","ES","-0.3838790903839","0.8882","greater","-0.993405196645979","0.00173081539323347","0.150675800881254"
"16","Samples_STUDY006","CONTROL","EC","0.0222820165704556","0.3196","greater","0.063392137029263","0.000504436227797897","0.118018057996874"
"17","Samples_STUDY006","CONTROL","CS","0.29754300725133","0.2578","greater","0.901795200679282","0.00428450000184864","0.105751223287325"
"18","Samples_STUDY006","CONTROL","ES","0.330324447041794","0.1286","greater","1.24382144089015","-0.0028491047535532","0.0717505045784895"
"19","Samples_009_azacytidine","CONTROL","EC","0.752518034191972","0.003","greater","3.46000631698749","0.00429989288079693","0.0467630344153563"
"20","Samples_009_azacytidine","CONTROL","CS","0.242527503404266","0.1923","greater","1.13974523100604","0.00269501692924994","0.0442792700374945"
"21","Samples_009_azacytidine","CONTROL","ES","0.113451595345912","0.3011","greater","0.538564541621492","-0.00193366643387835","0.0459013190745755"
"22","Samples_009_herbivory","CONTROL","EC","0.742208239996333","1e-04","greater","4.35240242146983","0.00253055346022261","0.0288819790772729"
"23","Samples_009_herbivory","CONTROL","CS","0.189620608932741","0.0618","greater","1.54744282645981","-0.00159804972860772","0.0152697283412177"
"24","Samples_009_herbivory","CONTROL","ES","0.0622972908180048","0.2741","greater","0.473721560646313","0.000654348452059384","0.0169324740302355"
"25","Samples_010","CONTROL","EC","0.639156896107458","0.009","greater","2.58984637576554","-0.00440957534335916","0.0617502632554036"
"26","Samples_010","CONTROL","CS","0.754071670203072","0.0697","greater","2.1764068207514","-0.000271424995275478","0.12013171642691"
"27","Samples_010","CONTROL","ES","0.439433248069688","0.1005","greater","1.75295344656529","0.00096440526370763","0.0625657580990482"
"28","Samples_011","CONTROL","EC","0.51440800135351","1e-04","greater","10.0385688219237","0.000434319907197977","0.00262142936851672"
"29","Samples_011","CONTROL","CS","0.0523328848463951","0.0318","greater","2.11011984064905","-0.000272896599505401","0.000621516568487489"
"30","Samples_011","CONTROL","ES","0.169102180328835","4e-04","greater","6.56824080779551","5.06684115217504e-05","0.000662429988741831"
"31","Samples_012","CONTROL","EC","-0.0709833021641487","0.4332","greater","-0.179891331513038","-0.00325370082069734","0.141754405846821"
"32","Samples_012","CONTROL","CS","-0.0256140608224796","0.4704","greater","-0.103224920825192","0.00394567094141287","0.0820034002570176"
"33","Samples_012","CONTROL","ES","0.570814940726958","0.0348","greater","1.8527858597907","0.00125916893852421","0.0944978786758802"
"34","Samples_013","CONTROL","EC","0.61053219014722","1e-04","greater","4.50614784003686","-0.00135311829711093","0.0184386524844512"
"35","Samples_013","CONTROL","CS","-0.0606755494619865","0.5517","greater","-0.332069966529551","0.000497224513288328","0.0339357266233392"
"36","Samples_013","CONTROL","ES","0.0791860397444465","0.2661","greater","0.561880396803699","-0.000844369811960433","0.0202872096799562"
"37","Samples_014_A","CONTROL","EC","0.742870200774375","1e-04","greater","3.75472993318712","-0.000898680749828693","0.0392390602848674"
"38","Samples_014_A","CONTROL","CS","-0.0905974558302093","0.6129","greater","-0.473841310678729","0.00196930225478411","0.0381631545425271"
"39","Samples_014_A","CONTROL","ES","-0.142570007113921","0.7647","greater","-0.785702562961927","-0.00161212996879387","0.0321856557210365"
"40","Samples_014_B","CONTROL","EC","0.608695155321768","1e-04","greater","7.10892125274795","-0.000948235344499926","0.00735435064793329"
"41","Samples_014_B","CONTROL","CS","0.287405727478172","0.0331","greater","2.05535424495275","-0.000693333040497781","0.0196476365386165"
"42","Samples_014_B","CONTROL","ES","0.0636522848726279","0.2212","greater","0.729434019826515","0.00105394044033778","0.00736467635067862"
"43","Samples_014_C","CONTROL","EC","0.595808298031479","1e-04","greater","4.79252217505461","0.00242462015581698","0.0153300273633999"
"44","Samples_014_C","CONTROL","CS","-0.017701583728646","0.4624","greater","-0.114923118458916","-0.00112591291965508","0.020803069593744"
"45","Samples_014_C","CONTROL","ES","0.100501262711732","0.2047","greater","0.892926808033512","-0.00153337875256015","0.0130576060540381"
"46","Samples_015","CONTROL","EC","0.141230807269485","0.229","greater","0.782885063187263","-0.0011597691960607","0.0330800747469508"
"47","Samples_015","CONTROL","CS","-0.140126139579","0.7237","greater","-0.701917995830257","0.000107582340697756","0.0399146354754912"
"48","Samples_015","CONTROL","ES","0.00882640555575502","0.4316","greater","0.0515366260881175","0.000540388695388145","0.0258499470796761"
"49","Samples_016_2","CONTROL","EC","0.762620906452835","1e-04","greater","5.6450260842419","-0.00124382818780347","0.0183105341982867"
"50","Samples_016_2","CONTROL","CS","0.234989258831203","0.0371","greater","1.96670383799675","0.00189959349724987","0.014046499433973"
"51","Samples_016_2","CONTROL","ES","0.125842642033784","0.1242","greater","1.03393947790885","0.00220951181226196","0.0142981383319939"
"52","Samples_017","CONTROL","EC","0.753006694106192","4e-04","greater","2.87600844483496","-0.00192879695927612","0.0689031968458299"
"53","Samples_017","CONTROL","CS","-0.0754360809276051","0.5779","greater","-0.278541968120205","-0.000123155751927623","0.0731067962510334"
"54","Samples_017","CONTROL","ES","-0.263580976548369","0.8845","greater","-1.10344908754282","0.00285465276362899","0.058301536670552"
"55","Samples_018","CONTROL","EC","0.372477766865214","0.0047","greater","3.32463651271394","0.00238444972465605","0.0123917928727032"
"56","Samples_018","CONTROL","CS","-0.0887825315490427","0.7263","greater","-0.650260829659032","0.000570702724562769","0.0188818857940726"
"57","Samples_018","CONTROL","ES","-0.158187782442412","0.9565","greater","-1.42541312846006","-0.00119114531682504","0.0121310722946411"
