"","Df","R.squared","Adj.R.squared","Testable","Component","Pvalue","STudy","TREATMENT"
"[a+b] = X1",1,0.0162011450054807,0.000333421537827117,TRUE,"[E|C+E:C]","0.314468553144686","Samples_STUDY001","CONTROL"
"[b+c] = X2",1,0.0543586015681574,0.039106320948289,TRUE,"[E:C+C|E]","0.0621937806219378","Samples_STUDY001","CONTROL"
"[a+b+c] = X1+X2",2,0.181149821333067,0.154302274491529,TRUE,"[E|C+E:C+C|E]","0.0025997400259974","Samples_STUDY001","CONTROL"
"[a] = X1|X2",1,NA,0.11519595354324,TRUE,"[E|C]","0.0031996800319968","Samples_STUDY001","CONTROL"
"[b]",0,NA,-0.114862532005413,FALSE,"[E:C]","NA","Samples_STUDY001","CONTROL"
"[c] = X2|X1",1,NA,0.153968852953702,TRUE,"[C|E]","0.0007999200079992","Samples_STUDY001","CONTROL"
"[d] = Residuals",NA,NA,0.845697725508471,FALSE,"Residuals","NA","Samples_STUDY001","CONTROL"
"[a+b] = X11",1,0.0619661687987924,0.0523943950110249,TRUE,"[E|C+E:C]","0.0131986801319868","Samples_002","CONTROL"
"[b+c] = X21",1,0.160578118485424,0.152012589082214,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_002","CONTROL"
"[a+b+c] = X1+X21",2,0.160585784075016,0.143278274468315,TRUE,"[E|C+E:C+C|E]","0.0002999700029997","Samples_002","CONTROL"
"[a] = X1|X21",1,NA,-0.00873431461389917,TRUE,"[E|C]","0.972202779722028","Samples_002","CONTROL"
"[b]1",0,NA,0.0611287096249241,FALSE,"[E:C]","NA","Samples_002","CONTROL"
"[c] = X2|X11",1,NA,0.0908838794572904,TRUE,"[C|E]","0.0007999200079992","Samples_002","CONTROL"
"[d] = Residuals1",NA,NA,0.856721725531685,FALSE,"Residuals","NA","Samples_002","CONTROL"
"[a+b] = X12",1,0.191613900791267,0.185921040937684,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_STUDY003","CONTROL"
"[b+c] = X22",1,0.112182270774818,0.105930033245063,TRUE,"[E:C+C|E]","0.0001999800019998","Samples_STUDY003","CONTROL"
"[a+b+c] = X1+X22",2,0.205741646075254,0.194475570133059,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_STUDY003","CONTROL"
"[a] = X1|X22",1,NA,0.0885455368879963,TRUE,"[E|C]","9.99900009999e-05","Samples_STUDY003","CONTROL"
"[b]2",0,NA,0.0973755040496876,FALSE,"[E:C]","NA","Samples_STUDY003","CONTROL"
"[c] = X2|X12",1,NA,0.00855452919537525,TRUE,"[C|E]","0.117388261173883","Samples_STUDY003","CONTROL"
"[d] = Residuals2",NA,NA,0.805524429866941,FALSE,"Residuals","NA","Samples_STUDY003","CONTROL"
"[a+b] = X13",1,0.23346800165877,0.230030638437509,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_STUDY004","CONTROL"
"[b+c] = X23",1,0.107581794951191,0.103579919592228,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_STUDY004","CONTROL"
"[a+b+c] = X1+X23",2,0.25400016044617,0.247279441170911,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_STUDY004","CONTROL"
"[a] = X1|X23",1,NA,0.143699521578683,TRUE,"[E|C]","9.99900009999e-05","Samples_STUDY004","CONTROL"
"[b]3",0,NA,0.0863311168588266,FALSE,"[E:C]","NA","Samples_STUDY004","CONTROL"
"[c] = X2|X13",1,NA,0.0172488027334012,TRUE,"[C|E]","0.0165983401659834","Samples_STUDY004","CONTROL"
"[d] = Residuals3",NA,NA,0.752720558829089,FALSE,"Residuals","NA","Samples_STUDY004","CONTROL"
"[a+b] = X14",1,0.0179913372771874,-0.0108912704499542,TRUE,"[E|C+E:C]","0.438256174382562","Samples_STUDY005","CONTROL"
